OffensivePlay,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
Weak I Normal HB Inside Weak,9.22,1251,,,,3.46,0.891
I Formation Normal FL Hitch,8.25,2081,8.0,2.89,0.85,4.5,0.74
I Formation Normal HB Dive,7.45,1343,,,,2.04,0.746
Weak I Normal FB Inside Weak,6.35,159,,,,1.25,0.053
I Formation Power HB Dive Weak,6.18,146,,,,2.04,-0.403
I Formation Power HB Strong Outside,6.12,706,,,,0.28,0.381
I Formation Normal HB Blast,5.8,1462,,,,1.8,0.448
Singleback 4 Wide Quick Outs,5.78,361,5.01,2.47,2.2,1.1,0.457
I Formation Twin WR Hard Slants,5.77,936,3.62,4.56,2.86,1.48,0.701
I Formation 3WR HB Inside Weak,5.71,1002,,,,1.08,0.101
I Formation Power HB Sweep Weak,5.7,250,,,,0.79,-0.558
Singleback Normal HB Dive Strong,5.54,333,,,,0.6,0.973
Split Backs Normal Posts,5.46,306,2.42,5.16,5.16,1.61,0.621
Strong I Big HB Dive Strong,5.42,123,,,,0.81,0.958
Goal Line Normal HB Pitch Weak,5.24,167,,,,,-0.03
Singleback Empty 4 TE Corner,5.2,89,2.2,3.37,10.11,1.12,-0.137
Split Backs Normal HB Off Tackle,5.16,43,,,,2.22,-0.186
I Formation 3WR WR Out,5.14,956,3.36,4.47,0.62,0.93,0.252
Shotgun Normal HB Flare,5.1,1722,2.27,3.41,9.01,1.85,-0.138
Weak I Big Off Tackle Weak,5.09,66,,,,1.52,-0.085
Singleback Normal TE Quick Out,5.08,551,3.08,3.96,3.24,1.8,0.616
Split Backs 3 Wide Dive Right,5.07,240,,,,,0.308
Strong I Big HB Off Tackle,5.06,68,,,,,-0.242
Weak I Big HB Dive Strong,5.01,71,,,,,1.415
Singleback Normal HB Dive Weak,5.0,434,,,,0.9,0.567
Weak I Normal Fullback Counter Weak,4.99,294,,,,0.33,0.397
Singleback Big HB Inside Strong,4.98,587,,,,,0.423
I Formation Twin WR Quick Outs,4.88,600,3.34,3.98,0.66,0.66,0.923
Singleback Slot Strong HB Strong Inside,4.87,253,,,,1.56,0.683
I Formation 3WR FL Post,4.75,715,2.11,3.48,7.52,0.42,0.164
Goal Line Normal HB Outside Strong,4.72,152,,,,,0.021
Weak I Big WR Post TE Out,4.7,314,2.6,3.16,5.7,,0.315
Singleback Normal HB Release Mid,4.66,460,0.27,7.13,5.18,1.08,0.446
Singleback Normal Quick Slant,4.56,130,3.94,0.77,5.38,2.31,0.213
Weak I Big HB Lead Toss Weak,4.53,91,,,,,0.536
Singleback Normal WR Quick In,4.53,199,2.73,3.5,3.0,0.5,0.567
Weak I Normal WR Corner TE Middle,4.49,1552,1.88,3.7,6.44,0.45,0.325
Goal Line Normal HB Dive,4.44,168,,,,1.15,-0.309
I Formation Normal HB Draw,4.42,546,,,,,0.122
I Formation Normal PA Fullback Flat,4.37,1033,4.0,1.53,1.62,2.96,-0.225
I Formation Power PA Flats,4.35,1120,2.97,2.39,4.07,0.44,0.033
Goal Line Normal HB Weak,4.34,116,,,,,0.65
I Formation Power Play Action HB Downfield,4.28,1314,0.75,5.07,6.73,0.61,0.11
I Formation Big HB Strong,4.24,41,,,,,-1.119
I Formation Normal Max Protect,4.22,1052,1.98,3.48,4.98,0.75,0.329
Weak I Normal Skinny Posts,4.2,890,3.56,2.0,1.45,2.0,-0.065
I Formation 3WR Slot Short WR Deep,4.19,1182,0.97,4.63,6.4,0.59,0.158
Strong I Normal HB Off Tackle Strong,4.18,886,,,,,0.398
I Formation 3WR PA Fullback Flat,4.15,367,3.03,2.99,0.82,1.9,-0.252
Singleback Big Off Tackle Strong,4.14,475,,,,,0.499
I Formation Twin WR HB Toss Weak,4.13,66,,,,,0.051
Strong I Normal HB Dive Strong,4.11,434,,,,,0.72
I Formation Power HB Draw,3.99,88,,,,1.12,-1.273
Split Backs 3 Wide Dive Left,3.92,385,,,,,0.045
Split Backs 3 Wide Drag In,3.9,129,1.73,2.33,7.75,,-0.85
Weak I Normal HB Inside Strong,3.9,336,,,,0.59,-0.29
Goal Line Normal PA TE Drag,3.9,160,3.45,1.85,0.62,,-0.289
Goal Line Normal HB Off Tackle,3.88,131,,,,0.76,-0.732
I Formation Big HB Outside Weak,3.87,47,,,,,-0.928
Singleback Normal PA Rollout,3.86,121,0.17,4.13,9.92,0.83,-0.596
I Formation Normal HB Counter,3.83,288,,,,,0.138
Strong I Normal Short Attack,3.8,165,2.27,3.61,0.6,0.6,-0.642
Strong I Normal Counter Strong,3.8,222,,,,,0.354
Shotgun 5 Wide Slot Drag,3.79,63,2.97,1.59,3.17,1.59,-0.791
Strong I Big Backfield Drag,3.75,471,2.32,2.1,4.62,1.05,0.213
Weak I Big HB Off Tackle Strong,3.7,53,,,,,-0.122
Strong I Normal WR Post TE Out,3.7,542,1.92,2.38,5.48,0.37,0.098
I Formation 3WR HB Inside Strong,3.7,676,,,,,-0.144
Singleback Big Ins and Outs,3.69,536,0.63,5.72,1.85,1.29,0.139
Shotgun 5 Wide Parallel Slants,3.68,246,1.91,3.23,2.82,,-0.016
Strong I Big TE Post,3.67,533,-1.31,5.6,11.75,0.75,0.736
Goal Line Normal HB Toss Strong,3.66,202,,,,,1.028
Singleback Slot Strong Post Curls,3.64,50,,2.0,,,0.471
Singleback Empty 4 Curl Flats,3.61,54,1.37,3.7,3.7,,-0.752
Singleback Slot Strong HB Checkdown,3.59,77,0.46,5.13,3.85,2.56,-0.412
Singleback Normal Post Corner,3.59,63,-1.41,3.17,19.05,3.17,-0.099
Split Backs 3 Wide Slot Post,3.58,330,-0.24,3.93,10.88,0.6,0.319
Strong I Big HB Toss Weak,3.56,34,,,,,0.646
I Formation 3WR Backfield Flats,3.45,251,1.51,1.59,8.37,1.2,0.104
Shotgun Normal FL Slant,3.4,150,0.42,3.27,8.5,1.96,-0.538
I Formation Normal Strong Flood,3.35,34,,,,,-0.877
Split Backs 3 Wide WR Quick Out,3.35,543,1.75,3.3,1.47,0.92,-0.381
I Formation Twin WR Hook Ins,3.31,70,-0.08,5.41,4.05,1.35,-0.24
Singleback Empty 4 Short Posts,3.3,133,2.01,2.26,3.01,0.75,-1.433
Split Backs Normal Weak Pitch Sweep,3.3,114,,,,0.85,-0.529
Singleback Normal FL Post,3.23,202,-0.46,4.43,8.37,0.99,0.406
Singleback Normal HB Inside Weak,3.15,423,,,,0.7,0.561
Weak I Big HB Counter Weak,3.12,43,,,,,0.575
I Formation 3WR Weak Flood,3.09,86,,,,,-1.229
Singleback Normal Hitch Corner,3.06,33,,,,,-0.035
Singleback Big Corner Ins,2.99,205,-0.44,3.35,10.05,,0.563
Shotgun 2 RB 3 WR WR Curl,2.98,326,0.51,3.99,3.37,,-1.441
I Formation Big TE Sneak Out,2.95,57,,5.26,,,-0.327
Split Backs Normal TE Curl,2.9,40,,5.0,,,-0.093
Strong I Normal HB Sweep Strong,2.88,41,,,,,0.022
Singleback Normal SE Quick Hit,2.88,149,0.54,4.64,0.66,0.66,0.335
Shotgun 2 RB 3 WR RB Curls,2.8,310,-0.87,5.05,5.99,0.32,-1.139
Strong I Normal Quick Hooks,2.79,120,2.52,0.82,1.64,,-0.226
Shotgun Normal Slot Drag,2.78,60,-4.99,13.33,1.67,,-1.373
Split Backs Normal Strong Pitch Sweep,2.75,32,,,,,0.379
Shotgun 2 RB 3 WR FB In,2.65,321,-2.62,4.67,14.95,0.62,-1.576
Shotgun Normal TE Out,2.62,272,-0.2,4.36,3.64,,-1.303
I Formation Normal Cross In,2.61,107,1.65,1.85,1.85,,0.35
