HasBall,"Game Clock","Ball @",Quarter,Down,YTG,OffensivePlay,DefensivePlay,YardsGained,"Home Score","Away Score",Text,QB1,RB1,RB2,FB2,FB1,TE1,TE2,WR1,WR3,WR2,WR4,WR5,LT1,LG1,C1,RG1,RT1,P1,LDE1,LDE2,DT1,DT2,RDE1,SLB1,MLB1,MLB2,WLB1,CB1,CB2,CB4,CB3,CB5,SS1,FS1,FS2,"Kick Holder1","Long Snapper1","Kick Returner1","Punt Returner1",Gunner10,Gunner7,Gunner2,Gunner6,Gunner1,Gunner8,Gunner3,Gunner4,Gunner9,Gunner5,Kickoffs1,"Field Goal Kicker1","ST Blocker8","ST Blocker5","ST Blocker4","ST Blocker1","ST Blocker2","ST Blocker3","ST Blocker6","ST Blocker7","ST Rusher4","ST Rusher1","ST Rusher2","ST Rusher3","ST Rusher11","ST Rusher10","ST Rusher9","ST Rusher6","ST Rusher5","ST Rusher7","ST Rusher8"
,15:00,,1,3,5,,,,0,0,"PHI has won the toss and elected to defer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHI,15:00,"PHI 35",1,6,10,Kickoff,"Kick Return",,0,0,"(15:00) 14-Steve Matthews kicks 75 yards from PHI 35 to LAX -10. Touchback.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#26 Bernard Christofferse - RB",,"#21 Ryan Greenway - WR","#43 Juan Rollins - CB","#40 Alfredo Stewart - CB","#44 Richard Blanco - CB","#45 Thomas Hudock - SS","#14 Corey Gibbons - WR","#42 Nathan Villanueva - CB","#81 Patrick Peavey - WR","#48 Charles Jackson - CB","#41 Paul Shelly - CB","#14 Steve Matthews - K",,,,,,,,,,,,,,,,,,,,
LAX,15:00,"LAX 25",1,1,10,"I Formation 3WR HB Inside Weak","4-3 Normal Man OLB Flat Zone",45,0,0,"1-10-LAX 25 (15:00) 22-Ernie Lindsay ran to PHI 30 for 45 yards. Tackle by 45-Arthur Brown. PHI 41-Dean Holman was injured on the play. He looks like he should be able to return.","#6 David Tavarez - QB","#22 Ernie Lindsay - RB",,,"#30 Herman Stevens - FB",,,"#19 Gordon Auyeung - WR","#18 John Miller - WR","#81 Patrick Peavey - WR",,,"#70 Andrew Pinder - RT","#69 Warren Whittaker - LG","#78 Eduardo Kappel - C","#68 Eddie Flannagan - RG","#65 Lamont Weller - LT",,"#57 Johnathan Ripley - RDE",,"#67 Charles Hartman - DT","#91 Kevin Cortez - DT","#58 Roger Cruz - RDE","#45 Arthur Brown - SLB","#55 Jonathon Damico - MLB",,"#41 Dean Holman - WLB","#27 Edward Mays - CB","#33 Jimmie McNeal - CB",,,,"#44 James Blackburn - CB","#44 Lewis Gomez - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAX,14:15,"PHI 30",1,1,10,"I Formation Power HB Strong Outside","Dime Normal Double WR1 WR2",1,0,0,"1-10-PHI 30 (14:14) 26-Bernard Christofferse ran to PHI 30 for 1 yards. Tackle by 58-Roger Cruz.","#6 David Tavarez - QB","#26 Bernard Christofferse - RB",,"#33 Richard Sullivan - FB","#30 Herman Stevens - FB","#79 Stephen Tye - C",,"#19 Gordon Auyeung - WR",,,,,"#70 Andrew Pinder - RT","#69 Warren Whittaker - LG","#78 Eduardo Kappel - C","#68 Eddie Flannagan - RG","#65 Lamont Weller - LT",,"#57 Johnathan Ripley - RDE",,"#67 Charles Hartman - DT","#91 Kevin Cortez - DT","#58 Roger Cruz - RDE",,"#91 Joey Jackson - MLB",,,"#27 Edward Mays - CB","#33 Jimmie McNeal - CB","#22 William Hilbert - CB","#40 John Gavin - CB",,"#44 James Blackburn - CB","#44 Lewis Gomez - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAX,13:33,"PHI 30",1,2,9,"Singleback Big Off Tackle Strong","4-3 Normal Man OLB Flat Zone",3,0,0,"2-9-PHI 30 (13:32) 26-Bernard Christofferse ran to PHI 26 for 3 yards. Tackle by 45-Arthur Brown.","#6 David Tavarez - QB","#26 Bernard Christofferse - RB",,,,"#79 Stephen Tye - C","#33 Richard Sullivan - FB","#19 Gordon Auyeung - WR",,"#81 Patrick Peavey - WR",,,"#70 Andrew Pinder - RT","#69 Warren Whittaker - LG","#78 Eduardo Kappel - C","#68 Eddie Flannagan - RG","#65 Lamont Weller - LT",,"#57 Johnathan Ripley - RDE",,"#67 Charles Hartman - DT","#91 Kevin Cortez - DT","#58 Roger Cruz - RDE","#45 Arthur Brown - SLB","#55 Jonathon Damico - MLB",,"#91 Joey Jackson - MLB","#27 Edward Mays - CB","#33 Jimmie McNeal - CB",,,,"#44 James Blackburn - CB","#44 Lewis Gomez - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAX,12:52,"PHI 26",1,3,6,"Singleback Normal WR Post","4-3 Normal Man OLB Flat Zone",,0,0,"3-6-PHI 26 (12:51) 6-David Tavarez pass Pass knocked down by 45-Arthur Brown. incomplete, intended for 18-John Miller.","#6 David Tavarez - QB","#26 Bernard Christofferse - RB",,,,"#79 Stephen Tye - C",,"#19 Gordon Auyeung - WR","#18 John Miller - WR","#81 Patrick Peavey - WR",,,"#70 Andrew Pinder - RT","#69 Warren Whittaker - LG","#78 Eduardo Kappel - C","#68 Eddie Flannagan - RG","#65 Lamont Weller - LT",,"#57 Johnathan Ripley - RDE",,"#67 Charles Hartman - DT","#91 Kevin Cortez - DT","#58 Roger Cruz - RDE","#91 Joey Jackson - MLB","#55 Jonathon Damico - MLB",,"#45 Arthur Brown - SLB","#27 Edward Mays - CB","#33 Jimmie McNeal - CB",,,,"#44 James Blackburn - CB","#44 Lewis Gomez - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAX,12:46,"PHI 26",1,4,6,"Field Goal","FG Block",37,0,3,"4-6-PHI 26 (12:47) 1-Brian Haworth 43 yard field goal is GOOD. PHI 94-John Coney was injured on the play. He looks like he should be able to return. PHI 0 LAX 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#6 David Tavarez - QB","#63 Kevin Jones - C",,,,,,,,,,,,,,"#1 Brian Haworth - K","#78 Eduardo Kappel - C","#52 Stephen Wyant - RG","#75 David Leonard - LG","#69 Warren Whittaker - LG","#79 Stephen Tye - C","#62 Richard Fuentes - C","#70 Andrew Pinder - RT","#65 Lamont Weller - LT","#96 William Gibson - RDE","#91 Joey Jackson - MLB","#58 Roger Cruz - RDE","#72 John Coney - LDE","#67 Charles Hartman - DT","#33 Jimmie McNeal - CB","#49 Jeffery Calfee - SS","#91 Kevin Cortez - DT","#57 Johnathan Ripley - RDE","#55 Jonathon Damico - MLB","#45 Arthur Brown - SLB"
LAX,12:42,"LAX 35",1,6,10,Kickoff,"Kick Return",,0,3,"(12:43) 1-Brian Haworth kicks 75 yards from LAX 35 to PHI -10. Touchback.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#37 Dave Yang - RB",,"#57 Johnathan Ripley - RDE","#44 Lewis Gomez - FS","#91 Joey Jackson - MLB","#45 Arthur Brown - SLB","#58 Roger Cruz - RDE","#33 Jimmie McNeal - CB","#63 Luciano Smith - RDE","#49 Jeffery Calfee - SS","#67 Charles Hartman - DT","#55 Jonathon Damico - MLB","#1 Brian Haworth - K",,,,,,,,,,,,,,,,,,,,
PHI,12:42,"PHI 25",1,1,10,"Shotgun Normal TE Out","Nickel Normal Shallow Zone Deep",,0,3,"1-10-PHI 25 (12:43) 15-Bryant Smith pass Pass knocked down by 51-Donald Brooks. incomplete, intended for 86-Scott Smith. PENALTY - Pass Interference (LAX 41-Paul Shelly)","#15 Bryant Smith - QB","#37 Dave Yang - RB",,,,"#86 Scott Smith - TE",,"#18 Paul Schroeder - WR","#11 Ryan Davis - WR","#14 Charles Olsen - WR",,,"#62 James Gonzalez - RG","#60 Kenneth Zepeda - LG","#78 Terrence George - C","#66 Brandon Marsh - RG","#60 James Rivera - RT",,"#73 Kevin Exley - LDE",,"#90 Jess Walton - DT","#71 George Tucker - DT","#77 Gary Kremer - RDE",,"#59 Fred Gargano - MLB",,"#91 Donald Brooks - MLB","#41 Paul Shelly - CB","#44 Richard Blanco - CB",,"#43 Juan Rollins - CB",,"#45 Thomas Hudock - SS","#42 Nathan Villanueva - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHI,12:39,"PHI 34",1,1,10,"Shotgun Normal HB Flare","Nickel Normal Man Cover 2",3,0,3,"1-10-PHI 34 (12:40) 15-Bryant Smith pass complete to 37-Dave Yang to PHI 37 for 3 yards. Tackle by 51-Donald Brooks. PENALTY - Offsides (LAX 90-Jess Walton)","#15 Bryant Smith - QB","#37 Dave Yang - RB",,,,"#86 Scott Smith - TE",,"#18 Paul Schroeder - WR","#11 Ryan Davis - WR","#14 Charles Olsen - WR",,,"#62 James Gonzalez - RG","#60 Kenneth Zepeda - LG","#78 Terrence George - C","#66 Brandon Marsh - RG","#60 James Rivera - RT",,"#73 Kevin Exley - LDE",,"#90 Jess Walton - DT","#71 George Tucker - DT","#77 Gary Kremer - RDE",,"#59 Fred Gargano - MLB",,"#91 Donald Brooks - MLB","#41 Paul Shelly - CB","#44 Richard Blanco - CB",,"#43 Juan Rollins - CB",,"#45 Thomas Hudock - SS","#42 Nathan Villanueva - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
