Season,Type,Week,Away Team,A Score,Home Team,H Score,Game ID,Captured,Force Refresh,Win,AT,,,,,,,,,
2009,Regular,1,Bulls,28,Renegades,17,11224,0,0,H,Timbers,,,,,,,,,
2009,Regular,1,Generals,8,Bandits,15,11225,0,0,H,FightingDeLucias,,,,,,,,,
2009,Regular,1,(NY)Stars,22,Breakers,0,11226,0,0,A,Mellotrons,,,,,,,,,
2009,Regular,1,Wranglers,16,Sun,32,11227,0,0,H,Ravens,,,,,,,,,
2009,Regular,1,Invaders,10,Storm,13,11228,0,0,H,Chips,,,,,,,,,
2009,Regular,1,Showboats,19,Gunslingers,31,11229,0,0,A,Hammers,,,,,,,,,
2009,Regular,1,Force,10,Maulers,16,11230,0,0,A,Rampage,,,,,,,,,
2009,Regular,1,Hornets,25,Federals,9,11231,0,0,H,Autobots,,,,,,,,,
2009,Regular,1,Panthers,24,Wheels,10,11232,0,0,H,Crusaders,,,,,,,,,
2009,Regular,1,Stallions,31,Stars,10,11233,0,0,A,Heisenbergs,,,,,,,,,
2009,Regular,1,Steamer,13,VooDoo,27,11234,0,0,H,BlackSharks,,,,,,,,,
2009,Regular,1,Blazers,16,Gold,10,11235,0,0,H,Corsairs,,,,,,,,,
2009,Regular,1,Gamblers,22,Outlaws,37,11236,0,0,A,Lancers,,,,,,,,,
2009,Regular,1,SaberCats,31,Express,19,11237,0,0,H,Muskies,,,,,,,,,
2009,Regular,1,Thunderbolts,12,Blitz,10,11238,0,0,A,Storm,,,,,,,,,
2009,Regular,1,Bell,31,Hawaiians,19,11239,0,0,H,Virgins,,,,,,,,,
2009,Regular,2,Maulers,5,VooDoo,22,11240,0,0,H,Quicksilver,,,,,,,,,
2009,Regular,2,Panthers,23,Thunderbolts,26,11241,0,0,H,CutThroat’s,,,,,,,,,
2009,Regular,2,Showboats,17,Steamer,16,11242,0,0,H,FoghornLeghorns,,,,,,,,,
2009,Regular,2,Stars,10,Hornets,20,11243,0,0,A,Ravens,,,,,,,,,
2009,Regular,2,Gunslingers,34,Wranglers,3,11244,0,0,A,Hammers,,,,,,,,,
2009,Regular,2,Federals,3,Force,41,11245,0,0,H,UkraineUnited,,,,,,,,,
2009,Regular,2,Gamblers,25,Stallions,30,11246,0,0,A,Rampage,,,,,,,,,
2009,Regular,2,Storm,6,Outlaws,24,11247,0,0,H,Crusaders,,,,,,,,,
2009,Regular,2,Blazers,10,Invaders,22,11248,0,0,A,Mallards,,,,,,,,,
2009,Regular,2,Bandits,10,Bulls,30,11249,0,0,A,Thunderbolts,,,,,,,,,
2009,Regular,2,Renegades,12,Bell,21,11250,0,0,H,Corsairs,,,,,,,,,
2009,Regular,2,Breakers,0,SaberCats,23,11251,0,0,H,Stars,,,,,,,,,
2009,Regular,2,Blitz,20,Wheels,24,11252,0,0,A,Treasure,,,,,,,,,
2009,Regular,2,Hawaiians,23,Sun,10,11253,0,0,H,Muskies,,,,,,,,,
2009,Regular,2,Generals,17,(NY)Stars,20,11254,0,0,H,Storm,,,,,,,,,
