HasBall,"Game Clock","Ball @",Quarter,Down,YTG,OffensivePlay,DefensivePlay,YardsGained,"Home Score","Away Score",Text,QB1,RB1,RB2,FB2,FB1,TE1,TE2,WR1,WR3,WR2,WR4,WR5,LT1,LG1,C1,RG1,RT1,P1,LDE1,LDE2,DT1,DT2,RDE1,SLB1,MLB1,MLB2,WLB1,CB1,CB2,CB4,CB3,CB5,SS1,FS1,FS2,"Kick Holder1","Long Snapper1","Kick Returner1","Punt Returner1",Gunner10,Gunner7,Gunner2,Gunner6,Gunner1,Gunner8,Gunner3,Gunner4,Gunner9,Gunner5,Kickoffs1,"Field Goal Kicker1","ST Blocker8","ST Blocker5","ST Blocker4","ST Blocker1","ST Blocker2","ST Blocker3","ST Blocker6","ST Blocker7","ST Rusher4","ST Rusher1","ST Rusher2","ST Rusher3","ST Rusher11","ST Rusher10","ST Rusher9","ST Rusher6","ST Rusher5","ST Rusher7","ST Rusher8"
,15:00,,1,2,10,,,,0,0,"CHA has won the toss and elected to receive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOS,15:00,"BOS 35",1,6,10,Kickoff,"Kick Return",76,0,0,"(15:00) 13-Billy Thompson kicks 76 yards from BOS 35 to CHA -11. Touchback.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#18 Kenneth Olson - RB",,"#44 James Brown - SS","#25 Jesse Jones - CB","#43 Adam Tucker - CB","#24 Curtis Lachapelle - WLB","#32 Mike Woodward - CB","#48 Rodney James - SS","#57 David Freels - RDE","#15 Charles Brothers - P","#76 Joshua Salazar - LDE","#17 Martin Salas - WR","#13 Billy Thompson - K",,,,,,,,,,,,,,,,,,,,
CHA,15:00,"CHA 25",1,1,10,"I Formation Normal FB Middle","Dime Flat 2 Deep Man Under",8,0,0,"1-10-CHA 25 (15:00) 12-Ricky Copeland pass complete to 85-Robert Murillo to CHA 33 for 8 yards. Tackle by 41-Samuel Clark.","#12 Ricky Copeland - QB","#33 Anthony Gray - RB",,,"#20 Larry Robinson - FB","#88 Wayne Haskell - TE",,"#14 Keith Talley - WR",,"#85 Robert Murillo - WR",,,"#31 James Broaddus - LT","#82 Mary Ashcraft - LG","#77 Steven Conti - C","#55 Anthony Lear - RG","#61 Hector Maeda - RG",,"#68 Hubert Morris - LDE",,"#64 Joseph Boudreaux - DT","#51 Milton Winfield - DT","#91 Eugene Ford - RDE",,"#95 Raymond Joyner - MLB",,,"#44 Edward Young - CB","#41 Samuel Clark - CB","#27 Frank Zuniga - FS","#47 Brian Campanelli - SS",,"#24 Andrew Bolden - CB","#39 Stephen Bennett - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,14:24,"CHA 33",1,2,2,"Goal Line Normal FB Dive","Dime Normal Man Cover 1",7,0,0,"2-2-CHA 33 (14:23) 20-Larry Robinson ran to CHA 40 for 7 yards. Tackle by 47-Brian Campanelli.","#12 Ricky Copeland - QB","#33 Anthony Gray - RB",,"#39 Richard Cole - FB","#20 Larry Robinson - FB","#88 Wayne Haskell - TE","#81 Christopher Teran - TE",,,,,,"#31 James Broaddus - LT","#82 Mary Ashcraft - LG","#77 Steven Conti - C","#55 Anthony Lear - RG","#61 Hector Maeda - RG",,"#68 Hubert Morris - LDE",,"#64 Joseph Boudreaux - DT","#51 Milton Winfield - DT","#91 Eugene Ford - RDE",,"#95 Raymond Joyner - MLB",,,"#44 Edward Young - CB","#41 Samuel Clark - CB","#27 Frank Zuniga - FS","#47 Brian Campanelli - SS",,"#24 Andrew Bolden - CB","#39 Stephen Bennett - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,13:48,"CHA 40",1,1,10,"Shotgun 5 Wide Middle Curls","Dime Normal Man Cover 1",6,0,0,"1-10-CHA 40 (13:47) 12-Ricky Copeland pass complete to 85-Robert Murillo to CHA 46 for 6 yards. Tackle by 47-Brian Campanelli. 85-Robert Murillo breaks down the CB. PENALTY - Pass Interference (BOS 47-Brian Campanelli)","#12 Ricky Copeland - QB",,,,,,,"#14 Keith Talley - WR","#85 Robert Murillo - WR","#17 Martin Salas - WR","#84 John Kirkland - WR","#18 Kenneth Olson - RB","#31 James Broaddus - LT","#82 Mary Ashcraft - LG","#77 Steven Conti - C","#55 Anthony Lear - RG","#61 Hector Maeda - RG",,"#68 Hubert Morris - LDE",,"#64 Joseph Boudreaux - DT","#51 Milton Winfield - DT","#91 Eugene Ford - RDE",,"#95 Raymond Joyner - MLB",,,"#44 Edward Young - CB","#41 Samuel Clark - CB","#27 Frank Zuniga - FS","#47 Brian Campanelli - SS",,"#24 Andrew Bolden - CB","#39 Stephen Bennett - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,13:43,"CHA 47",1,1,10,"Shotgun 5 Wide Middle Curls","Dime Normal Man Cover 1",9,0,0,"1-10-CHA 47 (13:44) 12-Ricky Copeland pass complete to 85-Robert Murillo to BOS 44 for 9 yards. Tackle by 47-Brian Campanelli.","#12 Ricky Copeland - QB",,,,,,,"#14 Keith Talley - WR","#85 Robert Murillo - WR","#17 Martin Salas - WR","#84 John Kirkland - WR","#33 Anthony Gray - RB","#31 James Broaddus - LT","#82 Mary Ashcraft - LG","#77 Steven Conti - C","#55 Anthony Lear - RG","#61 Hector Maeda - RG",,"#68 Hubert Morris - LDE",,"#64 Joseph Boudreaux - DT","#51 Milton Winfield - DT","#91 Eugene Ford - RDE",,"#95 Raymond Joyner - MLB",,,"#44 Edward Young - CB","#41 Samuel Clark - CB","#27 Frank Zuniga - FS","#47 Brian Campanelli - SS",,"#24 Andrew Bolden - CB","#39 Stephen Bennett - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,13:02,"BOS 44",1,2,1,"Singleback Slot Strong HB Counter","Dime Flat 2 Deep Man Under",3,0,0,"2-1-BOS 44 (13:01) 38-William Holmes ran to BOS 41 for 3 yards. Tackle by 95-Raymond Joyner.","#12 Ricky Copeland - QB","#38 William Holmes - RB",,,,"#88 Wayne Haskell - TE",,"#85 Robert Murillo - WR","#14 Keith Talley - WR","#84 John Kirkland - WR",,,"#31 James Broaddus - LT","#82 Mary Ashcraft - LG","#77 Steven Conti - C","#55 Anthony Lear - RG","#61 Hector Maeda - RG",,"#68 Hubert Morris - LDE",,"#64 Joseph Boudreaux - DT","#51 Milton Winfield - DT","#91 Eugene Ford - RDE",,"#95 Raymond Joyner - MLB",,,"#44 Edward Young - CB","#41 Samuel Clark - CB","#27 Frank Zuniga - FS","#47 Brian Campanelli - SS",,"#24 Andrew Bolden - CB","#39 Stephen Bennett - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,12:24,"BOS 41",1,1,10,"Shotgun 4 Wide Slot Drag","Dime Normal 2 Deep Man Under",,0,0,"1-10-BOS 41 (12:23) 12-Ricky Copeland pass Pass knocked down by 47-Brian Campanelli. incomplete, intended for 84-John Kirkland.","#12 Ricky Copeland - QB","#33 Anthony Gray - RB",,,,,,"#14 Keith Talley - WR","#84 John Kirkland - WR","#17 Martin Salas - WR","#85 Robert Murillo - WR",,"#31 James Broaddus - LT","#82 Mary Ashcraft - LG","#77 Steven Conti - C","#55 Anthony Lear - RG","#61 Hector Maeda - RG",,"#68 Hubert Morris - LDE",,"#64 Joseph Boudreaux - DT","#51 Milton Winfield - DT","#91 Eugene Ford - RDE",,"#95 Raymond Joyner - MLB",,,"#44 Edward Young - CB","#41 Samuel Clark - CB","#27 Frank Zuniga - FS","#47 Brian Campanelli - SS",,"#24 Andrew Bolden - CB","#39 Stephen Bennett - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,12:18,"BOS 41",1,2,10,"Weak I Big HB Off Tackle Strong","Dime Flat 2 Deep Man Under",3,0,0,"2-10-BOS 41 (12:19) 38-William Holmes ran to BOS 39 for 3 yards. Tackle by 68-Hubert Morris.","#12 Ricky Copeland - QB","#38 William Holmes - RB",,,"#20 Larry Robinson - FB","#88 Wayne Haskell - TE","#81 Christopher Teran - TE","#17 Martin Salas - WR",,,,,"#31 James Broaddus - LT","#82 Mary Ashcraft - LG","#77 Steven Conti - C","#55 Anthony Lear - RG","#61 Hector Maeda - RG",,"#68 Hubert Morris - LDE",,"#64 Joseph Boudreaux - DT","#51 Milton Winfield - DT","#91 Eugene Ford - RDE",,"#95 Raymond Joyner - MLB",,,"#44 Edward Young - CB","#41 Samuel Clark - CB","#39 Stephen Bennett - FS","#47 Brian Campanelli - SS",,"#24 Andrew Bolden - CB","#27 Frank Zuniga - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,11:36,"BOS 39",1,3,7,"I Formation 3WR Slot Corner Short","Dime Normal Man Cover 1",10,0,0,"3-7-BOS 39 (11:35) 12-Ricky Copeland pass complete to 85-Robert Murillo to BOS 29 for 10 yards. Tackle by 24-Andrew Bolden.","#12 Ricky Copeland - QB","#33 Anthony Gray - RB",,,"#20 Larry Robinson - FB",,,"#14 Keith Talley - WR","#85 Robert Murillo - WR","#17 Martin Salas - WR",,,"#31 James Broaddus - LT","#82 Mary Ashcraft - LG","#77 Steven Conti - C","#55 Anthony Lear - RG","#61 Hector Maeda - RG",,"#68 Hubert Morris - LDE",,"#64 Joseph Boudreaux - DT","#51 Milton Winfield - DT","#91 Eugene Ford - RDE",,"#95 Raymond Joyner - MLB",,,"#44 Edward Young - CB","#41 Samuel Clark - CB","#39 Stephen Bennett - FS","#47 Brian Campanelli - SS",,"#24 Andrew Bolden - CB","#27 Frank Zuniga - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
