Season,Type,Week,Away Team,A Score,Home Team,H Score,Game ID,Captured,Force Refresh,Win,AT,,,,,,,,,
2002,Regular,1,Breakers,10,Storm,34,8723,0,0,H,Breakers,,,,,,,,,
2002,Regular,1,Thunderbolts,0,VooDoo,29,8724,0,0,H,Thunderbolts,,,,,,,,,
2002,Regular,1,Wheels,17,Steamer,23,8725,0,0,H,Wheels,,,,,,,,,
2002,Regular,1,Stallions,9,Bandits,16,8726,0,0,H,Stallions,,,,,,,,,
2002,Regular,1,Gunslingers,24,Renegades,16,8727,0,0,A,Gunslingers,,,,,,,,,
2002,Regular,1,Showboats,17,Gamblers,23,8728,0,0,H,Showboats,,,,,,,,,
2002,Regular,1,Maulers,17,Express,0,8729,0,0,A,Maulers,,,,,,,,,
2002,Regular,1,Federals,11,Stars,17,8730,0,0,H,Federals,,,,,,,,,
2002,Regular,1,Bulls,17,Blazers,28,8731,0,0,H,Bulls,,,,,,,,,
2002,Regular,1,Outlaws,21,Sun,7,8732,0,0,A,Outlaws,,,,,,,,,
2002,Regular,1,SaberCats,16,Hawaiians,32,8733,0,0,H,SaberCats,,,,,,,,,
2002,Regular,1,Force,10,Hornets,12,8734,0,0,H,Force,,,,,,,,,
2002,Regular,1,Generals,41,(NY)Stars,0,8735,0,0,A,Generals,,,,,,,,,
2002,Regular,1,Invaders,3,Bell,33,8736,0,0,H,Invaders,,,,,,,,,
2002,Regular,1,Wranglers,13,Panthers,20,8737,0,0,H,Wranglers,,,,,,,,,
2002,Regular,1,Gold,6,Blitz,26,8738,0,0,H,Gold,,,,,,,,,
2002,Regular,2,Breakers,12,Stallions,19,8739,0,0,H,Breakers,,,,,,,,,
2002,Regular,2,(NY)Stars,3,VooDoo,51,8740,0,0,H,(NY)Stars,,,,,,,,,
2002,Regular,2,Wheels,12,Blitz,34,8741,0,0,H,Wheels,,,,,,,,,
2002,Regular,2,Thunderbolts,6,Panthers,17,8742,0,0,H,Thunderbolts,,,,,,,,,
2002,Regular,2,Generals,27,Force,13,8743,0,0,A,Generals,,,,,,,,,
2002,Regular,2,Invaders,13,Wranglers,3,8744,0,0,A,Invaders,,,,,,,,,
