OffensivePlay,OffPlayType,OffPersonnel,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
I Formation Twin WR Hard Slants,Short Pass,2RB/1TE/2WR,8.54,16045,7.48,3.3,3.97,4.49,0.799
Strong I Big TE Post,Medium Pass,2RB/2TE/1WR,8.27,8733,6.31,2.71,9.97,4.42,1.061
I Formation Power Play Action HB Downfield,Medium Pass,3RB/1TE/1WR,7.98,26818,6.94,2.86,4.59,3.77,0.454
Shotgun Normal HB Flare,Medium Pass,1RB/1TE/3WR,7.96,48471,6.54,2.75,6.85,4.02,0.382
Singleback Normal HB Release Mid,Medium Pass,1RB/1TE/3WR,7.2,11249,4.67,5.16,4.39,2.97,0.631
Strong I Big Backfield Drag,Short Pass,2RB/2TE/1WR,7.18,7158,5.73,2.37,7.28,4.57,0.92
I Formation Normal FL Hitch,Short Pass,2RB/1TE/2WR,7.09,32731,6.55,2.71,1.65,3.21,0.291
Split Backs Normal Posts,Medium Pass,2RB/1TE/2WR,6.97,4219,5.99,2.46,4.48,2.46,0.614
I Formation Twin WR Quick Outs,Short Pass,2RB/1TE/2WR,6.9,10748,6.67,2.48,0.62,2.91,1.012
Singleback Normal TE Quick Out,Short Pass,1RB/1TE/3WR,6.82,14568,6.01,2.77,2.57,2.97,0.811
Singleback 4 Wide Quick Outs,Short Pass,1RB/4WR,6.82,5043,5.42,3.71,2.69,3.06,0.886
Weak I Big WR Post TE Out,Medium Pass,2RB/2TE/1WR,6.81,5296,4.9,2.92,7.57,2.36,0.655
I Formation 3WR Slot Short WR Deep,Medium Pass,2RB/3WR,6.8,18863,4.92,3.21,6.55,2.51,0.232
I Formation Power PA Flats,Short Pass,3RB/1TE/1WR,6.45,22266,5.34,2.18,5.44,2.66,0.323
Weak I Normal WR Corner TE Middle,Medium Pass,2RB/1TE/2WR,6.39,25886,4.73,2.66,6.66,1.96,0.309
I Formation 3WR FL Post,Medium Pass,2RB/3WR,6.28,12611,4.84,2.58,5.79,1.54,0.492
I Formation 3WR Backfield Flats,Medium Pass,2RB/3WR,6.26,4254,5.46,1.56,5.6,3.2,0.649
I Formation 3WR WR Out,Short Pass,2RB/3WR,6.24,17210,5.73,2.62,0.94,1.79,0.554
I Formation 3WR HB Inside Weak,Inside Run,2RB/3WR,6.09,21673,7.3,0.0,0.0,0.69,0.454
Split Backs Normal WR Post,Medium Pass,2RB/1TE/2WR,5.75,1961,3.42,2.62,9.56,2.92,0.349
I Formation Normal Max Protect,Medium Pass,2RB/1TE/2WR,5.74,15595,4.08,2.7,5.97,1.81,0.097
Split Backs 3 Wide WR Quick Out,Short Pass,2RB/3WR,5.69,10708,5.04,2.4,1.74,2.09,0.393
I Formation Big HB Counter Weak,Outside Run,2RB/2TE/1WR,5.67,913,6.81,0.0,0.0,1.84,0.588
Singleback Big WR Deep,Medium Pass,1RB/2TE/2WR,5.53,10117,1.84,3.6,13.21,2.68,0.317
Singleback Slot Strong HB Checkdown,Medium Pass,1RB/1TE/3WR,5.51,2327,2.85,3.82,7.35,3.06,0.24
Singleback Normal HB Inside Weak,Inside Run,1RB/1TE/3WR,5.43,14162,6.51,0.0,0.0,0.33,0.824
Singleback Big Ins and Outs,Short Pass,1RB/2TE/2WR,5.43,7871,4.31,3.3,1.08,1.68,0.3
I Formation Big TE Sneak Out,Short Pass,2RB/2TE/1WR,5.42,1409,4.53,2.96,0.99,1.83,0.127
