OffensivePlay,ypp,cnt,any/a,int_rate,sack_rate,td_rate,ev_adj
I Formation Twin WR Hard Slants,8.33,1429,7.27,3.04,4.56,4.77,0.729
Shotgun Normal HB Flare,8.33,6050,7.11,2.63,6.5,4.35,0.427
Strong I Big TE Post,8.1,814,6.01,2.3,11.61,4.11,0.982
Strong I Big Backfield Drag,7.98,701,6.73,2.09,7.96,5.87,0.975
I Formation Power Play Action HB Downfield,7.89,2761,6.68,3.04,4.8,3.08,0.39
Split Backs Normal Posts,7.47,462,7.17,1.92,3.21,2.14,1.109
I Formation Twin WR Quick Outs,6.98,952,6.78,2.49,0.52,2.7,1.158
I Formation Normal FL Hitch,6.97,3519,6.46,2.72,1.35,3.0,0.265
Singleback Normal TE Quick Out,6.76,1861,5.76,3.25,2.02,2.66,0.661
I Formation 3WR Slot Short WR Deep,6.67,2133,4.57,3.35,7.12,2.56,0.196
Singleback Normal HB Release Mid,6.63,1351,3.72,5.46,4.79,2.51,0.643
I Formation Power PA Flats,6.61,2268,5.53,2.23,5.33,2.14,0.183
Weak I Normal WR Corner TE Middle,6.61,2591,5.16,2.48,6.42,1.8,0.25
Singleback 4 Wide Quick Outs,6.57,412,5.0,3.84,2.88,2.64,0.902
Weak I Big WR Post TE Out,6.4,591,3.48,3.87,9.41,1.85,0.551
I Formation 3WR HB Inside Weak,6.29,2417,,,,0.69,0.353
I Formation 3WR FL Post,6.28,1353,4.7,2.49,6.73,1.46,0.269
Singleback Slot Strong HB Checkdown,6.23,342,4.68,2.62,6.1,4.07,0.622
I Formation 3WR WR Out,6.01,1792,5.52,2.49,1.0,1.27,0.514
Singleback Big WR Deep,5.96,1078,3.1,2.94,11.48,2.2,0.516
Split Backs 3 Wide Slot Post,5.87,567,4.12,3.13,5.22,1.57,0.421
Singleback Normal HB Inside Weak,5.66,1845,,,,0.64,0.966
I Formation Normal Max Protect,5.66,1625,4.0,2.44,6.65,1.59,0.271
I Formation 3WR PA Fullback Flat,5.64,735,5.26,2.02,1.48,2.43,0.012
Singleback Normal HB Dive Weak,5.55,1871,,,,0.74,0.65
