Season,Type,Week,Away Team,A Score,Home Team,H Score,Game ID,Captured,Force Refresh,Win,AT,,,,,,,,,
1996,Regular,1,ArizonaCardinals,17,SeattleSeahawks,16,8723,0,0,A,ArizonaCardinals,,,,,,,,,
1996,Regular,1,LosAngelesRams,0,NewYorkJets,33,8724,0,0,H,LosAngelesRams,,,,,,,,,
1996,Regular,1,JacksonvilleJaguars,7,BuffaloBills,21,8725,0,0,H,JacksonvilleJaguars,,,,,,,,,
1996,Regular,1,SanDiegoChargers,7,MiamiDolphins,13,8726,0,0,H,SanDiegoChargers,,,,,,,,,
1996,Regular,1,DenverBroncos,13,WashingtonRedskins,20,8727,0,0,H,DenverBroncos,,,,,,,,,
1996,Regular,1,MinnesotaVikings,25,ChicagoBears,0,8728,0,0,A,MinnesotaVikings,,,,,,,,,
1996,Regular,1,PittsburghSteelers,3,ClevelandBrowns,27,8729,0,0,H,PittsburghSteelers,,,,,,,,,
1996,Regular,1,CincinnatiBengals,13,GreenBayPackers,9,8730,0,0,A,CincinnatiBengals,,,,,,,,,
1996,Regular,1,OaklandRaiders,16,DallasCowboys,6,8731,0,0,A,OaklandRaiders,,,,,,,,,
1996,Regular,1,NewYorkGiants,27,PhiladelphiaEagles,16,8732,0,0,A,NewYorkGiants,,,,,,,,,
1996,Regular,1,DetroitLions,8,BaltimoreRavens,3,8733,0,0,A,DetroitLions,,,,,,,,,
1996,Regular,1,NewEnglandPatriots,10,KansasCityChiefs,12,8734,0,0,H,NewEnglandPatriots,,,,,,,,,
1996,Regular,1,IndianapolisColts,31,TennesseeTitans,21,8735,0,0,A,IndianapolisColts,,,,,,,,,
1996,Regular,1,CarolinaPanthers,18,AtlantaFalcons,10,8736,0,0,A,CarolinaPanthers,,,,,,,,,
1996,Regular,1,TampaBayBuccaneers,12,HoustonTexans,17,8737,0,0,H,TampaBayBuccaneers,,,,,,,,,
1996,Regular,1,SanFrancisco49ers,6,NewOrleansSaints,0,8738,0,0,A,SanFrancisco49ers,,,,,,,,,
1996,Regular,2,DetroitLions,10,NewYorkGiants,13,8739,0,0,H,DetroitLions,,,,,,,,,
1996,Regular,2,NewOrleansSaints,3,AtlantaFalcons,30,8740,0,0,H,NewOrleansSaints,,,,,,,,,
1996,Regular,2,MinnesotaVikings,34,GreenBayPackers,9,8741,0,0,A,MinnesotaVikings,,,,,,,,,
1996,Regular,2,SeattleSeahawks,10,SanFrancisco49ers,24,8742,0,0,H,SeattleSeahawks,,,,,,,,,
1996,Regular,2,KansasCityChiefs,13,OaklandRaiders,10,8743,0,0,A,KansasCityChiefs,,,,,,,,,
1996,Regular,2,NewEnglandPatriots,14,BuffaloBills,21,8744,0,0,H,NewEnglandPatriots,,,,,,,,,
1996,Regular,2,LosAngelesRams,9,DallasCowboys,2,8745,0,0,A,LosAngelesRams,,,,,,,,,
1996,Regular,2,CarolinaPanthers,31,ArizonaCardinals,14,8746,0,0,A,CarolinaPanthers,,,,,,,,,
1996,Regular,2,JacksonvilleJaguars,0,TampaBayBuccaneers,24,8747,0,0,H,JacksonvilleJaguars,,,,,,,,,
1996,Regular,2,MiamiDolphins,9,HoustonTexans,12,8748,0,0,H,MiamiDolphins,,,,,,,,,
1996,Regular,2,ClevelandBrowns,7,TennesseeTitans,22,8749,0,0,H,ClevelandBrowns,,,,,,,,,
1996,Regular,2,NewYorkJets,19,IndianapolisColts,38,8750,0,0,H,NewYorkJets,,,,,,,,,
1996,Regular,2,PhiladelphiaEagles,6,DenverBroncos,20,8751,0,0,H,PhiladelphiaEagles,,,,,,,,,
1996,Regular,2,PittsburghSteelers,13,BaltimoreRavens,14,8752,0,0,H,PittsburghSteelers,,,,,,,,,
1996,Regular,2,CincinnatiBengals,3,SanDiegoChargers,34,8753,0,0,H,CincinnatiBengals,,,,,,,,,
1996,Regular,2,ChicagoBears,24,WashingtonRedskins,30,8754,0,0,H,ChicagoBears,,,,,,,,,
1996,Regular,3,TennesseeTitans,23,CarolinaPanthers,9,8755,0,0,A,TennesseeTitans,,,,,,,,,
1996,Regular,3,IndianapolisColts,9,BuffaloBills,35,8756,0,0,H,IndianapolisColts,,,,,,,,,
1996,Regular,3,JacksonvilleJaguars,9,MiamiDolphins,30,8757,0,0,H,JacksonvilleJaguars,,,,,,,,,
1996,Regular,3,HoustonTexans,17,NewYorkJets,24,8758,0,0,H,HoustonTexans,,,,,,,,,
1996,Regular,3,NewOrleansSaints,3,ArizonaCardinals,57,8759,0,0,H,NewOrleansSaints,,,,,,,,,
1996,Regular,3,NewYorkGiants,20,SeattleSeahawks,16,8760,0,0,A,NewYorkGiants,,,,,,,,,
