HasBall,"Game Clock","Ball @",Quarter,Down,YTG,OffensivePlay,DefensivePlay,YardsGained,"Home Score","Away Score",Text,QB1,RB1,RB2,FB2,FB1,TE1,TE2,WR1,WR3,WR2,WR4,WR5,LT1,LG1,C1,RG1,RT1,P1,LDE1,LDE2,DT1,DT2,RDE1,SLB1,MLB1,MLB2,WLB1,CB1,CB2,CB4,CB3,CB5,SS1,FS1,FS2,"Kick Holder1","Long Snapper1","Kick Returner1","Punt Returner1",Gunner10,Gunner7,Gunner2,Gunner6,Gunner1,Gunner8,Gunner3,Gunner4,Gunner9,Gunner5,Kickoffs1,"Field Goal Kicker1","ST Blocker8","ST Blocker5","ST Blocker4","ST Blocker1","ST Blocker2","ST Blocker3","ST Blocker6","ST Blocker7","ST Rusher4","ST Rusher1","ST Rusher2","ST Rusher3","ST Rusher11","ST Rusher10","ST Rusher9","ST Rusher6","ST Rusher5","ST Rusher7","ST Rusher8"
,15:00,,1,3,1,,,,0,0,"CHA has won the toss and elected to receive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LON,15:00,"LON 35",1,6,10,Kickoff,"Kick Return",,0,0,"(15:00) 4-Sean Watson kicks 69 yards from LON 35 to CHA -4. Touchback.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#44 Alfredo Kondo - WR",,"#10 Chad Pappas - WR","#22 Herbert McIntosh - CB","#37 David Breedlove - CB","#31 Freddie Jordan - CB","#35 Seth Haas - CB","#42 Alvin Feldmann - CB","#62 Timothy Scott - LT","#38 Jared Rogers - CB","#59 Hans Leary - SS","#41 Kevin Thompson - TE","#1 Sean Watson - K",,,,,,,,,,,,,,,,,,,,
CHA,15:00,"CHA 25",1,1,10,"Singleback Normal WR Quick In","4-3 Normal Double WR1",,0,0,"1-10-CHA 25 (15:00) 13-James Evers pass Pass knocked down by 49-Kenneth Oneil. incomplete, intended for 11-James Bundy.","#13 James Evers - QB","#84 Ronald Perkins - RB",,,,"#16 Paul Campbell - WR",,"#82 Keith Birchfield - WR","#44 Alfredo Kondo - WR","#11 James Bundy - WR",,,"#64 Roy Eyman - LT","#57 Donald Clontz - LG","#69 Bruce Cortina - C","#65 Frank Courtney - RG","#77 Michael Smith - RT",,"#94 William Buxton - LDE",,"#64 John Chambers - DT","#51 Douglas Soto - WLB","#90 Eugene Mitchell - RDE","#99 Hugh Miley - SLB","#57 Jordan Davis - MLB",,"#97 Kai Hansen - WLB","#31 Luigi Spagnolia - CB","#29 Dennis Carnahan - CB",,,,"#25 James Wise - SS","#49 Kenneth Oneil - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,14:57,"CHA 25",1,2,10,"I Formation Power HB Strong Outside","4-3 Normal Man Under 1",2,0,0,"2-10-CHA 25 (14:58) 84-Ronald Perkins ran to CHA 27 for 2 yards. Tackle by 99-Hugh Miley.","#13 James Evers - QB","#84 Ronald Perkins - RB",,"#16 Paul Campbell - WR","#12 Mark Young - WR","#44 Alfredo Kondo - WR",,"#82 Keith Birchfield - WR",,,,,"#64 Roy Eyman - LT","#57 Donald Clontz - LG","#69 Bruce Cortina - C","#65 Frank Courtney - RG","#77 Michael Smith - RT",,"#94 William Buxton - LDE",,"#64 John Chambers - DT","#51 Douglas Soto - WLB","#90 Eugene Mitchell - RDE","#99 Hugh Miley - SLB","#57 Jordan Davis - MLB",,"#97 Kai Hansen - WLB","#31 Luigi Spagnolia - CB","#29 Dennis Carnahan - CB",,,,"#25 James Wise - SS","#49 Kenneth Oneil - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,14:18,"CHA 27",1,3,8,"I Formation Twin WR Hard Slants","3-4 Normal Man Cover 1",8,0,0,"3-8-CHA 27 (14:17) 13-James Evers pass complete to 82-Keith Birchfield to CHA 35 for 8 yards. Tackle by 31-Luigi Spagnolia.","#13 James Evers - QB","#84 Ronald Perkins - RB",,,"#12 Mark Young - WR","#44 Alfredo Kondo - WR",,"#82 Keith Birchfield - WR",,"#11 James Bundy - WR",,,"#64 Roy Eyman - LT","#57 Donald Clontz - LG","#69 Bruce Cortina - C","#65 Frank Courtney - RG","#77 Michael Smith - RT",,"#94 William Buxton - LDE",,"#64 John Chambers - DT",,"#90 Eugene Mitchell - RDE","#99 Hugh Miley - SLB","#57 Jordan Davis - MLB","#57 Charles Cunningham - MLB","#97 Kai Hansen - WLB","#31 Luigi Spagnolia - CB","#29 Dennis Carnahan - CB",,,,"#25 James Wise - SS","#49 Kenneth Oneil - FS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,13:43,"CHA 35",1,4,,Punt,"Punt Return",,0,0,"4-1-CHA 35 (13:42) 14-Archie Powers punts 47 yards to LON 18. Fair Catch by 20-Joshua Rowland.",,,,,,,,,,,,,,,,,,"#14 Archie Powers - P",,,,,,,,,,,,,,,,,,,"#64 Roy Eyman - LT",,"#20 Joshua Rowland - WR",,,"#57 Jordan Davis - MLB","#90 Eugene Mitchell - RDE","#99 Hugh Miley - SLB",,"#26 Jason Johnson - CB","#96 Steven Munoz - RDE",,"#91 Albert Barba - LDE",,,,"#55 Marty Adams - C","#62 Timothy Scott - LT","#41 Kevin Thompson - TE","#23 Justin Jenkins - RB","#69 Bruce Cortina - C","#57 Donald Clontz - LG",,"#52 Dennis Wyatt - SLB","#51 Douglas Soto - WLB","#29 Dennis Carnahan - CB","#94 William Buxton - LDE",,,,,,,
LON,13:35,"LON 18",1,1,10,"Shotgun 2 RB 3 WR Shotgun Sweep","Dime Normal Man Cover 1",1,0,0,"1-10-LON 18 (13:36) 35-Jimmie Shoffner ran to LON 20 for 1 yards. Tackle by 53-Michael Kuhn.","#17 David Brown - QB","#14 John Washington - RB","#35 Jimmie Shoffner - RB",,,,,"#85 Paul Matthews - WR","#13 Thomas Williams - WR","#13 Richard Buckner - WR",,,"#53 Manuel Wallace - LT","#60 Ronald Barnes - LG","#66 Frank Jarrell - C","#61 Matthew Reyna - RG","#62 Jorge McCauley - RT",,"#91 Gregory Crawford - LDE",,"#70 Elvin Armstrong - DT","#75 Clayton Lyle - DT","#68 Dean Harris - RDE",,"#53 Michael Kuhn - WLB",,,"#39 Brandon Jackson - CB","#47 Gordon Jackson - CB","#31 Freddie Jordan - CB","#42 Alvin Feldmann - CB",,"#40 Charles Padilla - CB","#32 Joseph Como - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LON,13:03,"LON 20",1,2,9,"I Formation 3WR HB Inside Strong","Dime Normal Man Cover 1",5,0,0,"2-9-LON 20 (13:02) 14-John Washington ran to LON 25 for 5 yards. Tackle by 40-Charles Padilla.","#17 David Brown - QB","#14 John Washington - RB",,,"#40 Anthony Ruddy - FB",,,"#85 Paul Matthews - WR","#13 Thomas Williams - WR","#13 Richard Buckner - WR",,,"#53 Manuel Wallace - LT","#60 Ronald Barnes - LG","#66 Frank Jarrell - C","#61 Matthew Reyna - RG","#62 Jorge McCauley - RT",,"#91 Gregory Crawford - LDE",,"#70 Elvin Armstrong - DT","#75 Clayton Lyle - DT","#68 Dean Harris - RDE",,"#53 Michael Kuhn - WLB",,,"#39 Brandon Jackson - CB","#38 Jared Rogers - CB","#42 Alvin Feldmann - CB","#47 Gordon Jackson - CB",,"#40 Charles Padilla - CB","#32 Joseph Como - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LON,12:27,"LON 25",1,3,3,"I Formation 3WR SE Post","4-3 Normal WLB MLB Blitz",11,0,0,"3-3-LON 25 (12:26) 17-David Brown pass complete to 85-Paul Matthews to LON 36 for 11 yards. Pushed out of bounds by 39-Brandon Jackson.","#17 David Brown - QB","#14 John Washington - RB",,,"#40 Anthony Ruddy - FB",,,"#85 Paul Matthews - WR","#13 Thomas Williams - WR","#13 Richard Buckner - WR",,,"#53 Manuel Wallace - LT","#60 Ronald Barnes - LG","#66 Frank Jarrell - C","#61 Matthew Reyna - RG","#62 Jorge McCauley - RT",,"#91 Gregory Crawford - LDE",,"#70 Elvin Armstrong - DT","#75 Clayton Lyle - DT","#68 Dean Harris - RDE","#98 Cory Bailey - SS","#53 Michael Kuhn - WLB",,"#54 James Dunn - WLB","#39 Brandon Jackson - CB","#38 Jared Rogers - CB",,,,"#40 Charles Padilla - CB","#32 Joseph Como - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LON,11:43,"LON 36",1,1,10,"Singleback Normal HB Dive Weak","3-4 Normal Man Cover 1",3,0,0,"1-10-LON 36 (11:42) 35-Jimmie Shoffner ran to LON 39 for 3 yards. Tackle by 98-Cory Bailey.","#17 David Brown - QB","#35 Jimmie Shoffner - RB",,,,"#80 Robert Hamilton - TE",,"#85 Paul Matthews - WR","#13 Thomas Williams - WR","#13 Richard Buckner - WR",,,"#53 Manuel Wallace - LT","#60 Ronald Barnes - LG","#66 Frank Jarrell - C","#61 Matthew Reyna - RG","#62 Jorge McCauley - RT",,"#91 Gregory Crawford - LDE",,"#70 Elvin Armstrong - DT",,"#68 Dean Harris - RDE","#98 Cory Bailey - SS","#53 Michael Kuhn - WLB","#47 Gordon Jackson - CB","#54 James Dunn - WLB","#38 Jared Rogers - CB","#42 Alvin Feldmann - CB",,,,"#40 Charles Padilla - CB","#32 Joseph Como - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
