Season,Type,Week,Away Team,A Score,Home Team,H Score,Game ID,Captured,Force Refresh,Win,AT,,,,,,,,,
2044,Regular,1,TorontoTitans,20,CincinnatiDefenders,16,8339,0,0,H,Timbers,,,,,,,,,
2044,Regular,1,VancouverVandals,7,IndianaFog,20,8340,0,0,H,FightingDeLucias,,,,,,,,,
2044,Regular,1,ProvidenceIslanders,24,PhiladelphiaSlayers,30,8341,0,0,A,Mellotrons,,,,,,,,,
2044,Regular,1,HoustonRoughnecks,19,GemCityGangsters,10,8342,0,0,H,Ravens,,,,,,,,,
2044,Regular,1,CarolinaCobras,9,MemphisManiacs,49,8343,0,0,H,Chips,,,,,,,,,
2044,Regular,1,LosAngelesChallengers,7,SeattleBarbarians,20,8344,0,0,A,Hammers,,,,,,,,,
2044,Regular,1,NewYorkEmpire,0,KCChaos,20,8345,0,0,A,Rampage,,,,,,,,,
2044,Regular,1,BrooklynHitmen,10,OaklandOutlaws,6,8346,0,0,H,Autobots,,,,,,,,,
2044,Regular,1,SaintPaulPunishers,10,WashingtonWarriors,31,8347,0,0,H,Crusaders,,,,,,,,,
2044,Regular,1,ZehlendorfZecken,31,MontanaGrizzlies,26,8348,0,0,A,Heisenbergs,,,,,,,,,
2044,Regular,1,BuffaloSkullCrushers,8,PittsburghBlitzkrieg,34,8349,0,0,H,BlackSharks,,,,,,,,,
2044,Regular,1,AtlantaDominators,28,VegasBlackAces,6,8350,0,0,H,Corsairs,,,,,,,,,
2044,Regular,1,ArizonaWranglers,34,TampaBayFireballs,0,8351,0,0,A,Lancers,,,,,,,,,
2044,Regular,1,DaytonaBeachBullSharks,9,NewEnglandCrusaders,30,8352,0,0,H,Muskies,,,,,,,,,
2044,Regular,1,TexasHold'em,0,MiamiNemesis,20,8353,0,0,A,Storm,,,,,,,,,
2044,Regular,1,DakotaBlizzard,30,OrlandoGuardians,32,8354,0,0,H,Virgins,,,,,,,,,
2044,Regular,2,IndianaFog,0,CincinnatiDefenders,22,8355,0,0,H,Quicksilver,,,,,,,,,
2044,Regular,2,DaytonaBeachBullSharks,3,OrlandoGuardians,20,8356,0,0,H,CutThroat’s,,,,,,,,,
2044,Regular,2,DakotaBlizzard,23,NewEnglandCrusaders,0,8357,0,0,H,FoghornLeghorns,,,,,,,,,
2044,Regular,2,BrooklynHitmen,20,CarolinaCobras,2,8358,0,0,A,Ravens,,,,,,,,,
2044,Regular,2,GemCityGangsters,10,AtlantaDominators,52,8359,0,0,A,Hammers,,,,,,,,,
2044,Regular,2,VegasBlackAces,6,MemphisManiacs,23,8360,0,0,H,UkraineUnited,,,,,,,,,
2044,Regular,2,VancouverVandals,17,OaklandOutlaws,10,8361,0,0,A,Rampage,,,,,,,,,
2044,Regular,2,PhiladelphiaSlayers,30,WashingtonWarriors,19,8362,0,0,H,Crusaders,,,,,,,,,
2044,Regular,2,ProvidenceIslanders,27,MontanaGrizzlies,21,8363,0,0,A,Mallards,,,,,,,,,
2044,Regular,2,SeattleBarbarians,9,ZehlendorfZecken,27,8364,0,0,A,Thunderbolts,,,,,,,,,
2044,Regular,2,ArizonaWranglers,39,BuffaloSkullCrushers,6,8365,0,0,H,Corsairs,,,,,,,,,
2044,Regular,2,PittsburghBlitzkrieg,3,TorontoTitans,12,8366,0,0,H,Stars,,,,,,,,,
2044,Regular,2,KCChaos,3,HoustonRoughnecks,26,8367,0,0,A,Treasure,,,,,,,,,
2044,Regular,2,MiamiNemesis,3,NewYorkEmpire,6,8368,0,0,H,Muskies,,,,,,,,,
2044,Regular,2,TampaBayFireballs,3,TexasHold'em,7,8369,0,0,H,Storm,,,,,,,,,
2044,Regular,2,SaintPaulPunishers,7,LosAngelesChallengers,26,8370,0,0,A,Timbers,,,,,,,,,
2044,Regular,3,OrlandoGuardians,27,TexasHold'em,3,8371,0,0,H,Bullfrogs,,,,,,,,,
2044,Regular,3,CarolinaCobras,16,TampaBayFireballs,6,8372,0,0,A,Treasure,,,,,,,,,
2044,Regular,3,ZehlendorfZecken,3,BrooklynHitmen,27,8373,0,0,H,BlackSharks,,,,,,,,,
2044,Regular,3,PhiladelphiaSlayers,12,ArizonaWranglers,56,8374,0,0,A,Crusaders,,,,,,,,,
2044,Regular,3,BuffaloSkullCrushers,32,NewYorkEmpire,18,8375,0,0,A,Virgins,,,,,,,,,
2044,Regular,3,DakotaBlizzard,9,AtlantaDominators,26,8376,0,0,A,Corsairs,,,,,,,,,
2044,Regular,3,DaytonaBeachBullSharks,0,TorontoTitans,9,8377,0,0,A,Romans,,,,,,,,,
2044,Regular,3,SaintPaulPunishers,16,GemCityGangsters,27,8378,0,0,H,Thunderbolts,,,,,,,,,
2044,Regular,3,CincinnatiDefenders,22,MontanaGrizzlies,14,8379,0,0,A,Cheesesteaks,,,,,,,,,
2044,Regular,3,ProvidenceIslanders,26,WashingtonWarriors,3,8380,0,0,H,Bakers,,,,,,,,,
