HasBall,"Game Clock","Ball @",Quarter,Down,YTG,OffensivePlay,DefensivePlay,YardsGained,"Home Score","Away Score",Text,QB1,RB1,RB2,FB2,FB1,TE1,TE2,WR1,WR3,WR2,WR4,WR5,LT1,LG1,C1,RG1,RT1,P1,LDE1,LDE2,DT1,DT2,RDE1,SLB1,MLB1,MLB2,WLB1,CB1,CB2,CB4,CB3,CB5,SS1,FS1,FS2,"Kick Holder1","Long Snapper1","Kick Returner1","Punt Returner1",Gunner10,Gunner7,Gunner2,Gunner6,Gunner1,Gunner8,Gunner3,Gunner4,Gunner9,Gunner5,Kickoffs1,"Field Goal Kicker1","ST Blocker8","ST Blocker5","ST Blocker4","ST Blocker1","ST Blocker2","ST Blocker3","ST Blocker6","ST Blocker7","ST Rusher4","ST Rusher1","ST Rusher2","ST Rusher3","ST Rusher11","ST Rusher10","ST Rusher9","ST Rusher6","ST Rusher5","ST Rusher7","ST Rusher8"
,15:00,,1,1,10,,,,0,0,"TOR has won the toss and elected to defer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR,15:00,"TOR 35",1,6,10,Kickoff,"Kick Return",,6,0,"(15:00) 1-Frank Payne kicks 73 yards from TOR 35 to HOU -8. 80-Edgardo Murray for 108yards. TOUCHDOWN! HOU 6 TOR 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#80 Edgardo Murray - WR",,"#96 Peter Grant - RDE","#91 Robert Bass - LDE","#51 Robert Mann - WLB","#90 James Spencer - RDE","#44 Delbert Bealer - CB","#59 Andre Wade - WLB","#20 Matthew Scott - CB","#56 Stanley Shade - WLB","#89 John Lewis - WR","#57 William Snow - WLB","#1 Frank Payne - K",,,,,,,,,,,,,,,,,,,,
HOU,14:46,"TOR 15",1,7,15,"Field Goal","FG Block",26,7,0,"(14:47) Extra point GOOD by 18-William Pope. HOU 7 TOR 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#17 Bruce Shadrick - QB","#69 Jose Brooks - C",,,,,,,,,,,,,,"#18 William Pope - K","#70 Daniel Paige - LG","#79 Charles Linder - LT","#66 James Velasquez - RG","#84 Joseph McCasland - RB","#73 Emmanuel Wallace - RG","#72 Lawrence Downing - C","#77 Eric Mitchell - LT","#58 James Mason - RG","#57 Nicholas Andujar - LDE","#98 Richard Luther - MLB","#96 William Power - LDE","#78 Michael Daniels - DT","#53 Johnathon Cook - WLB","#55 Chris Naquin - MLB","#97 James Ortiz - WLB","#58 Charles Cox - SLB","#59 Jeremy Bishop - DT","#65 Eric Westbrook - LDE","#56 Jon McCue - RDE"
HOU,14:46,"HOU 35",1,6,10,Kickoff,"Kick Return",,7,0,"(14:47) 18-William Pope kicks 74 yards from HOU 35 to TOR -9. Touchback.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#16 Daniel Bailey - WR",,"#78 Michael Daniels - DT","#96 William Power - LDE","#29 Allen Crandall - CB","#25 Noah Green - FS","#46 Karl Grant - SS","#99 Joseph Dotson - WLB","#50 Daniel Simmons - WLB","#58 Charles Cox - SLB","#57 Nicholas Andujar - LDE","#90 Gregory Chan - MLB","#18 William Pope - K",,,,,,,,,,,,,,,,,,,,
TOR,14:46,"TOR 25",1,1,10,"I Formation 3WR HB Inside Strong","4-3 Normal OLB Blitz Inside",-1,7,0,"1-10-TOR 25 (14:47) 16-Daniel Bailey ran to TOR 24 for -1 yards. Tackle by 59-Andre Wade.","#6 Walter Clark - QB","#16 Daniel Bailey - WR",,,"#43 Roy Moore - WR",,,"#17 Ernest McLaughlin - WR","#82 Lester Helvey - WR","#84 Ivory Stoner - WR",,,"#74 Paul Freeman - LT","#54 Andrew Huff - LG","#72 Chris Nunez - C","#61 Danny Detrick - RG","#67 Samuel Amos - LT",,"#92 Odell Paschke - LDE",,"#64 Bret Walton - DT","#90 Cary Short - RDE","#96 Peter Grant - RDE","#59 Andre Wade - WLB","#51 Robert Mann - WLB",,"#56 Stanley Shade - WLB","#33 Roger Trimmer - CB","#20 Matthew Scott - CB",,,,"#44 Delbert Bealer - CB","#27 Kyle Locklin - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR,14:06,"TOR 24",1,2,11,"I Formation Twin WR Hard Slants","4-3 Normal Double WR2",10,7,0,"2-11-TOR 24 (14:05) 6-Walter Clark pass complete to 81-Felix Choudhury to TOR 34 for 10 yards. Tackle by 56-Stanley Shade.","#6 Walter Clark - QB","#45 Richard Avery - RB",,,"#43 Roy Moore - WR","#81 Felix Choudhury - TE",,"#17 Ernest McLaughlin - WR",,"#84 Ivory Stoner - WR",,,"#74 Paul Freeman - LT","#54 Andrew Huff - LG","#72 Chris Nunez - C","#61 Danny Detrick - RG","#67 Samuel Amos - LT",,"#92 Odell Paschke - LDE",,"#64 Bret Walton - DT","#90 Cary Short - RDE","#96 Peter Grant - RDE","#59 Andre Wade - WLB","#51 Robert Mann - WLB",,"#56 Stanley Shade - WLB","#33 Roger Trimmer - CB","#20 Matthew Scott - CB",,,,"#44 Delbert Bealer - CB","#27 Kyle Locklin - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR,13:30,"TOR 34",1,3,1,"I Formation 3WR PA Fullback Flat","4-3 Normal Double WR1",57,7,0,"3-1-TOR 34 (13:29) 6-Walter Clark pass complete to 84-Ivory Stoner to HOU 9 for 57 yards. Tackle by 20-Matthew Scott.","#6 Walter Clark - QB","#16 Daniel Bailey - WR",,,"#43 Roy Moore - WR",,,"#17 Ernest McLaughlin - WR","#82 Lester Helvey - WR","#84 Ivory Stoner - WR",,,"#74 Paul Freeman - LT","#54 Andrew Huff - LG","#72 Chris Nunez - C","#61 Danny Detrick - RG","#67 Samuel Amos - LT",,"#92 Odell Paschke - LDE",,"#64 Bret Walton - DT","#90 Cary Short - RDE","#96 Peter Grant - RDE","#59 Andre Wade - WLB","#51 Robert Mann - WLB",,"#56 Stanley Shade - WLB","#33 Roger Trimmer - CB","#20 Matthew Scott - CB",,,,"#44 Delbert Bealer - CB","#27 Kyle Locklin - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR,12:47,"HOU 9",1,1,9,"I Formation Normal FL Hitch","4-3 Normal Man Under 1",,7,0,"1-9-HOU 9 (12:46) 6-Walter Clark pass Pass knocked down by 41-Wayne Kearns. incomplete, intended for 88-James Benningfield.","#6 Walter Clark - QB","#45 Richard Avery - RB",,,"#35 John Smith - WR","#81 Felix Choudhury - TE",,"#17 Ernest McLaughlin - WR",,"#88 James Benningfield - WR",,,"#74 Paul Freeman - LT","#60 Byron Thoms - LT","#72 Chris Nunez - C","#66 Ned Jones - RT","#67 Samuel Amos - LT",,"#92 Odell Paschke - LDE",,"#90 Cary Short - RDE","#65 Arnold Doe - DT","#91 Robert Bass - LDE","#57 William Snow - WLB","#54 Joel Dodson - WLB",,"#56 Stanley Shade - WLB","#43 Paul Powers - CB","#41 Wayne Kearns - CB",,,,"#44 Delbert Bealer - CB","#21 Jeremy Seltzer - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR,12:42,"HOU 9",1,2,9,"Strong I Normal HB Dive Strong","4-3 Normal Man Under 1",3,7,0,"2-9-HOU 9 (12:43) 45-Richard Avery ran to HOU 6 for 3 yards. Tackle by 56-Stanley Shade.","#6 Walter Clark - QB","#45 Richard Avery - RB",,,"#35 John Smith - WR","#81 Felix Choudhury - TE",,"#17 Ernest McLaughlin - WR",,"#88 James Benningfield - WR",,,"#74 Paul Freeman - LT","#54 Andrew Huff - LG","#72 Chris Nunez - C","#61 Danny Detrick - RG","#67 Samuel Amos - LT",,"#92 Odell Paschke - LDE",,"#64 Bret Walton - DT","#90 Cary Short - RDE","#91 Robert Bass - LDE","#54 Joel Dodson - WLB","#57 William Snow - WLB",,"#56 Stanley Shade - WLB","#43 Paul Powers - CB","#41 Wayne Kearns - CB",,,,"#44 Delbert Bealer - CB","#21 Jeremy Seltzer - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR,12:01,"HOU 6",1,3,6,"I Formation Power Play Action HB Downfield","4-3 Normal Man QB Spy",10,7,6,"3-6-HOU 6 (12:00) 6-Walter Clark pass complete to 16-Daniel Bailey for 6 yards. TOUCHDOWN! HOU 7 TOR 6","#6 Walter Clark - QB","#45 Richard Avery - RB",,"#35 John Smith - WR","#43 Roy Moore - WR","#81 Felix Choudhury - TE",,"#16 Daniel Bailey - WR",,,,,"#74 Paul Freeman - LT","#54 Andrew Huff - LG","#72 Chris Nunez - C","#61 Danny Detrick - RG","#67 Samuel Amos - LT",,"#92 Odell Paschke - LDE",,"#64 Bret Walton - DT","#90 Cary Short - RDE","#96 Peter Grant - RDE","#54 Joel Dodson - WLB","#57 William Snow - WLB",,"#56 Stanley Shade - WLB","#33 Roger Trimmer - CB","#43 Paul Powers - CB",,,,"#44 Delbert Bealer - CB","#27 Kyle Locklin - CB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
