rank,name,original_position,volatility,best_position,best_overall,max_speed_at_best_pos,pos2,pos2_overall,pos3,pos3_overall,pos4,pos4_overall,pos5,pos5_overall
1,Richard Hamblin,CB,76.0,CB,84.3,90.4,FS,82.4,SS,81.4,WLB,77.5,SLB,77.0
2,Robert Harris,TE,62.0,RB,84.1,89.7,FB,78.6,TE,71.6,CB,64.7,SLB,61.4
3,Carlos Davila,WR,44.0,RB,84.1,86.5,WR,78.4,TE,72.0,FB,68.8,CB,64.7
4,Charles Clark,QB,72.0,QB,82.5,75.0,RB,68.6,SS,51.5,SLB,49.2,WLB,46.4
5,Donald Douglas,QB,16.0,QB,82.3,71.5,MLB,41.8,,0,,0,,0
6,Brett Odum,QB,26.0,QB,82.3,89.6,RB,73.8,CB,64.4,SS,62.7,WR,61.5
7,Nicholas Park,MLB,30.0,SS,82.2,81.3,CB,78.8,FS,78.4,SLB,76.3,WLB,74.5
8,Jaime Marshall,WR,16.0,RB,82.1,86.7,WR,79.7,TE,73.3,FB,72.6,CB,61.1
9,Steven Brown,MLB,90.0,SS,81.9,89.9,CB,81.8,FS,81.1,MLB,74.5,WLB,74.3
10,Terry Morris,WR,48.0,WR,81.7,85.3,FB,76.2,TE,75.2,RB,73.4,CB,64.4
11,Joseph Riggins,MLB,22.0,SS,81.6,82.4,RDE,83.3,SS,81.6,FS,81.5,CB,81.1
12,Alan Yi,CB,70.0,SS,81.6,90.6,SLB,79.6,CB,77.6,FS,77.3,MLB,74.8
13,Charles Gibson,CB,2.0,CB,81.1,82.7,SS,80.6,FS,79.2,WLB,77.5,MLB,75.0
14,Clyde Guzzi,RB,62.0,WR,80.6,89.3,TE,74.7,FB,70.6,RB,67.9,CB,57.2
15,Roy Cunningham,TE,72.0,RB,80.5,89.9,FB,70.7,TE,69.7,CB,65.2,FS,61.7
16,John Williams,CB,44.0,FS,80.2,86.4,SS,79.6,CB,79.0,LDE,76.3,RDE,76.3
17,Scott Webber,SLB,100.0,FS,80.1,92.2,CB,79.1,SS,74.7,MLB,68.9,WLB,68.1
18,Steven Mejia,MLB,100.0,FS,79.8,92.4,CB,79.3,LDE,78.8,RDE,78.8,SS,78.4
19,Robert Day,WLB,78.0,CB,79.1,89.9,FS,76.8,SS,69.2,WLB,66.9,MLB,62.6
20,Richard Nelson,CB,100.0,CB,78.9,84.3,FS,78.2,SS,75.9,WLB,74.4,SLB,72.7
21,Mario Haydel,RB,92.0,WR,78.7,86.4,RB,78.6,FB,74.2,TE,73.9,CB,63.9
22,Carl Hudson,RB,38.0,RB,78.1,89.2,WR,74.1,FB,70.4,TE,69.1,CB,63.5
23,Dan Tripp,QB,20.0,QB,76.6,13.5,DT,39.4,,0,,0,,0
24,Billy Hampton,WR,100.0,WR,76.3,89.3,FB,74.9,TE,67.6,RB,66.8,CB,63.0
25,Morton Huff,FB,92.0,WR,75.6,92.1,RB,74.3,TE,65.7,FB,60.8,CB,57.8
26,Roger Ferrell,QB,88.0,RB,75.3,88.6,WR,66.3,CB,65.8,FS,63.1,SS,63.0
27,Brandon Millar,RB,38.0,RB,74.3,80.5,WR,72.0,TE,66.5,FB,59.4,CB,58.1
28,Ken Gatewood,RB,90.0,RB,74.2,90.9,WR,72.8,FB,70.0,TE,66.5,CB,62.1
29,Curtis McLean,FS,60.0,CB,73.8,94.5,SLB,72.7,SS,71.3,FS,70.8,LDE,66.8
30,Steve Webster,QB,96.0,RB,73.8,77.7,CB,60.0,SS,55.2,SLB,54.8,WLB,50.3
31,Henry Eastman,MLB,46.0,CB,73.7,90.1,RDE,74.0,CB,73.7,FS,73.0,SLB,68.7
32,Charles Romain,RB,16.0,RB,73.6,89.7,WR,70.3,FB,64.9,TE,62.5,CB,59.8
33,Alan Becker,SS,70.0,SS,73.5,76.4,MLB,72.4,SLB,71.8,WLB,71.6,RB,53.2
34,Daryl Boggs,CB,12.0,CB,72.7,89.4,SS,72.3,FS,71.2,SLB,66.6,RB,64.9
35,Mike Brady,WR,74.0,WR,72.6,91.6,RB,71.4,TE,66.5,FB,64.7,CB,62.1
36,David Coney,QB,26.0,RB,72.6,85.4,CB,60.2,WR,59.7,SLB,57.9,FS,57.3
37,Alfred Workman,WLB,74.0,SS,72.5,86.8,LDE,71.0,RDE,71.0,FS,70.3,CB,70.2
38,Ethan Boyer,WR,4.0,WR,71.9,92.8,RB,63.0,TE,62.2,FB,61.9,CB,60.0
39,Victor Ross,MLB,66.0,CB,71.6,88.2,FS,70.9,SLB,66.6,LDE,64.1,RDE,64.1
