DefPlay,DefSecondary,DefLinebackers,DefFormation,DefPersonnel,PassFoc34,PassFoc43,BalDef34,BalDef43,RunFoc34,RunFoc43,HeavyZone34,HeavyZone43,HeavyM2M34,HeavyM2M43,HeavyBlitz43
3-4 Normal 2 Deep Man,2-Deep Man,Man,3-4 Normal,Normal Defensive Backfield,1,0,1,0,1,0,1,0,1,0,0
3-4 Normal 2 Deep Zone,2-Deep Zone,Zone,3-4 Normal,Normal Defensive Backfield,1,0,1,0,1,0,1,0,1,0,0
3-4 Normal 3 Deep Man Under,3-Deep Man,Zone,3-4 Normal,Normal Defensive Backfield,1,0,1,0,1,0,1,0,1,0,0
3-4 Normal 3 Deep Zone Under,3-Deep Zone,Zone In,3-4 Normal,Normal Defensive Backfield,1,0,1,0,1,0,1,0,1,0,0
3-4 Normal 4 Deep QB Spy,4-Deep Zone,Zone,3-4 Normal,Normal Defensive Backfield,1,0,1,0,1,0,1,0,1,0,0
3-4 Normal 4 Deep Zone,4-Deep Zone,Zone,3-4 Normal,Normal Defensive Backfield,1,0,1,0,1,0,1,0,1,0,0
3-4 Normal Cover 4,4-Deep Zone,Zone,3-4 Normal,Normal Defensive Backfield,1,0,1,0,1,0,1,0,1,0,0
3-4 Normal Double Blitz,1-Deep Man,Blitz 2,3-4 Normal,Normal Defensive Backfield,1,0,1,0,1,0,1,0,1,0,0
3-4 Normal Double WR2,1-Deep Man,Blitz 1,3-4 Normal,Normal Defensive Backfield,1,0,1,0,1,0,1,0,1,0,0
3-4 Normal Man Cover 1,1-Deep Man,Zone In,3-4 Normal,Normal Defensive Backfield,1,0,1,0,1,0,1,0,1,0,0
3-4 Normal Man QB Spy,Man,Blitz 2,3-4 Normal,Normal Defensive Backfield,1,0,1,0,1,0,1,0,1,0,0
3-4 Normal OLBs Blitz,1-Deep Man,Blitz 2,3-4 Normal,Normal Defensive Backfield,1,0,1,0,1,0,1,0,1,0,0
3-4 Normal Zone Blitz,2-Deep Man,Blitz 2,3-4 Normal,Normal Defensive Backfield,1,0,1,0,1,0,1,0,1,0,0
4-3 Normal 3 Deep LB Blitz,3-Deep Man,Blitz 1,4-3 Normal,Normal Defensive Backfield,1,1,0,1,0,1,0,1,0,1,1
4-3 Normal 3 Deep Zone Flat Left,3-Deep Zone,Zone,4-3 Normal,Normal Defensive Backfield,1,1,0,1,0,1,0,1,0,1,1
4-3 Normal 3 Deep Zone Flat Right,3-Deep Zone,Zone,4-3 Normal,Normal Defensive Backfield,1,1,0,1,0,1,0,1,0,1,1
4-3 Normal 3 Deep Zone Under,3-Deep Zone,Zone,4-3 Normal,Normal Defensive Backfield,1,1,0,1,0,1,0,1,0,1,1
4-3 Normal 4 Deep Zone,4-Deep Zone,Zone,4-3 Normal,Normal Defensive Backfield,1,1,0,1,0,1,0,1,0,1,1
4-3 Normal 4 Deep Zone Under,4-Deep Zone,Zone,4-3 Normal,Normal Defensive Backfield,1,1,0,1,0,1,0,1,0,1,1
4-3 Normal CB2 Blitz,Corner Blitz,Zone,4-3 Normal,Normal Defensive Backfield,1,1,0,1,0,1,0,1,0,1,1
