OffPlay,OffPlayType,OffFormation,OffPersonnel,GenBal,PassFoc,RunFoc,PossOff,WestCoast
Empty 4 Wide Spread Corner Post,Medium Pass,Empty 4 Wide,1TE/4WR,1,1,1,1,1
Empty 4 Wide Spread Deep Corner Post,Long Pass,Empty 4 Wide,1TE/4WR,1,1,1,1,1
Empty 4 Wide Spread Flats,Short Pass,Empty 4 Wide,1TE/4WR,1,1,1,1,1
Field Goal,Special Teams,Special Teams,Special Teams,1,1,1,1,1
Goal Line Normal FB Dive,Inside Run,Goal Line Normal,2RB/3TE,1,1,1,1,1
Goal Line Normal HB Dive,Inside Run,Goal Line Normal,2RB/3TE,1,1,1,1,1
Goal Line Normal HB Off Tackle,Outside Run,Goal Line Normal,2RB/3TE,1,1,1,1,1
Goal Line Normal HB Outside Strong,Outside Run,Goal Line Normal,2RB/3TE,1,1,1,1,1
Goal Line Normal HB Pitch Weak,Outside Run,Goal Line Normal,2RB/3TE,1,1,1,1,1
Goal Line Normal HB Toss Strong,Outside Run,Goal Line Normal,2RB/3TE,1,1,1,1,1
Goal Line Normal HB Weak,Outside Run,Goal Line Normal,2RB/3TE,1,1,1,1,1
Goal Line Normal PA TE Drag,Short Pass,Goal Line Normal,2RB/3TE,1,1,1,1,1
I Formation 3WR Backfield Flats,Medium Pass,I Formation 3WR,2RB/3WR,1,0,1,1,1
I Formation 3WR Deep Corner/Post,Long Pass,I Formation 3WR,2RB/3WR,1,0,1,1,1
I Formation 3WR FL Post,Medium Pass,I Formation 3WR,2RB/3WR,1,0,1,1,1
I Formation 3WR HB Inside Strong,Inside Run,I Formation 3WR,2RB/3WR,1,0,1,1,1
I Formation 3WR HB Inside Weak,Inside Run,I Formation 3WR,2RB/3WR,1,0,1,1,1
I Formation 3WR HB Toss Strong,Outside Run,I Formation 3WR,2RB/3WR,1,0,1,1,1
I Formation 3WR Outside Curls,Medium Pass,I Formation 3WR,2RB/3WR,1,0,1,1,1
I Formation 3WR PA Fullback Flat,Short Pass,I Formation 3WR,2RB/3WR,1,0,1,1,1
I Formation 3WR SE Post,Medium Pass,I Formation 3WR,2RB/3WR,1,0,1,1,1
I Formation 3WR Slot Corner Long,Medium Pass,I Formation 3WR,2RB/3WR,1,0,1,1,1
I Formation 3WR Slot Corner Short,Short Pass,I Formation 3WR,2RB/3WR,1,0,1,1,1
I Formation 3WR Slot Short WR Deep,Medium Pass,I Formation 3WR,2RB/3WR,1,0,1,1,1
I Formation 3WR Weak Flood,Short Pass,I Formation 3WR,2RB/3WR,1,0,1,1,1
I Formation 3WR WR Out,Short Pass,I Formation 3WR,2RB/3WR,1,0,1,1,1
