Season,Type,Week,Away Team,A Score,Home Team,H Score,Game ID,Captured,Force Refresh,Win,AT
2018,Regular,1,Hornets,3,Bulls,17,14077,0,0,H,Hornets
2018,Regular,1,Blazers,6,Wheels,20,14078,0,0,H,Blazers
2018,Regular,1,Maulers,14,Renegades,16,14079,0,0,H,Maulers
2018,Regular,1,Stars,23,Wranglers,6,14080,0,0,A,Stars
2018,Regular,1,Panthers,13,Gamblers,27,14081,0,0,H,Panthers
2018,Regular,1,SaberCats,39,Showboats,50,14082,0,0,H,SaberCats
2018,Regular,1,Invaders,0,Storm,19,14083,0,0,H,Invaders
2018,Regular,1,Federals,10,VooDoo,42,14084,0,0,H,Federals
2018,Regular,1,Breakers,0,Steamer,17,14085,0,0,H,Breakers
2018,Regular,1,(NY)Stars,7,Outlaws,20,14086,0,0,H,(NY)Stars
2018,Regular,1,Bell,22,Generals,0,14087,0,0,A,Bell
2018,Regular,1,Sun,7,Gunslingers,44,14088,0,0,H,Sun
2018,Regular,1,Thunderbolts,3,Gold,20,14089,0,0,H,Thunderbolts
2018,Regular,1,Blitz,6,Hawaiians,34,14090,0,0,H,Blitz
2018,Regular,1,Stallions,9,Express,26,14091,0,0,H,Stallions
2018,Regular,1,Force,7,Bandits,17,14092,0,0,H,Force
2018,Regular,2,Bulls,37,Bandits,20,14093,0,0,A,Bulls
2018,Regular,2,Wranglers,3,Panthers,33,14094,0,0,H,Wranglers
