Season,Type,Week,Away Team,A Score,Home Team,H Score,Game ID,Captured,Force Refresh,Win,AT,,,,,,,,,
2018,Regular,1,(NY)Stars,10,Breakers,16,14077,0,0,H,Timbers,,,,,,,,,
2018,Regular,1,Steamer,13,Panthers,6,14078,0,0,H,FightingDeLucias,,,,,,,,,
2018,Regular,1,Generals,24,Bandits,0,14079,0,0,A,Mellotrons,,,,,,,,,
2018,Regular,1,Gamblers,10,Renegades,36,14080,0,0,H,Ravens,,,,,,,,,
2018,Regular,1,Blazers,7,Bulls,13,14081,0,0,H,Chips,,,,,,,,,
2018,Regular,1,Stallions,30,Force,16,14082,0,0,A,Hammers,,,,,,,,,
2018,Regular,1,VooDoo,6,Hornets,23,14083,0,0,A,Rampage,,,,,,,,,
2018,Regular,1,Maulers,21,Stars,19,14084,0,0,H,Autobots,,,,,,,,,
2018,Regular,1,Federals,21,Bell,20,14085,0,0,H,Crusaders,,,,,,,,,
2018,Regular,1,Wranglers,6,Outlaws,27,14086,0,0,A,Heisenbergs,,,,,,,,,
2018,Regular,1,Invaders,13,Showboats,45,14087,0,0,H,BlackSharks,,,,,,,,,
2018,Regular,1,Gold,51,Storm,7,14088,0,0,H,Corsairs,,,,,,,,,
2018,Regular,1,Gunslingers,10,SaberCats,9,14089,0,0,A,Lancers,,,,,,,,,
2018,Regular,1,Thunderbolts,54,Wheels,3,14090,0,0,H,Muskies,,,,,,,,,
2018,Regular,1,Blitz,25,Sun,6,14091,0,0,A,Storm,,,,,,,,,
2018,Regular,1,Express,7,Hawaiians,26,14092,0,0,H,Virgins,,,,,,,,,
2018,Regular,2,(NY)Stars,17,Invaders,14,14093,0,0,H,Quicksilver,,,,,,,,,
2018,Regular,2,Wheels,17,Force,38,14094,0,0,H,CutThroat’s,,,,,,,,,
2018,Regular,2,SaberCats,24,Blitz,3,14095,0,0,H,FoghornLeghorns,,,,,,,,,
2018,Regular,2,Steamer,6,Thunderbolts,25,14096,0,0,A,Ravens,,,,,,,,,
2018,Regular,2,Generals,31,Wranglers,10,14097,0,0,A,Hammers,,,,,,,,,
2018,Regular,2,Stars,3,Sun,13,14098,0,0,H,UkraineUnited,,,,,,,,,
2018,Regular,2,Panthers,16,Hawaiians,13,14099,0,0,A,Rampage,,,,,,,,,
2018,Regular,2,Stallions,16,Federals,30,14100,0,0,H,Crusaders,,,,,,,,,
2018,Regular,2,VooDoo,10,Bandits,6,14101,0,0,A,Mallards,,,,,,,,,
2018,Regular,2,Outlaws,24,Bulls,31,14102,0,0,A,Thunderbolts,,,,,,,,,
2018,Regular,2,Bell,20,Blazers,23,14103,0,0,H,Corsairs,,,,,,,,,
2018,Regular,2,Gold,21,Gamblers,16,14104,0,0,H,Stars,,,,,,,,,
2018,Regular,2,Storm,3,Gunslingers,46,14105,0,0,A,Treasure,,,,,,,,,
2018,Regular,2,Renegades,26,Showboats,14,14106,0,0,H,Muskies,,,,,,,,,
2018,Regular,2,Hornets,20,Breakers,24,14107,0,0,H,Storm,,,,,,,,,
2018,Regular,2,Maulers,3,Express,20,14108,0,0,A,Timbers,,,,,,,,,
2018,Regular,3,Hawaiians,20,Blitz,3,14109,0,0,H,Bullfrogs,,,,,,,,,
2018,Regular,3,Invaders,38,Storm,6,14110,0,0,A,Treasure,,,,,,,,,
2018,Regular,3,Outlaws,6,Showboats,38,14111,0,0,H,BlackSharks,,,,,,,,,
2018,Regular,3,Thunderbolts,6,SaberCats,12,14112,0,0,A,Crusaders,,,,,,,,,
2018,Regular,3,Gold,26,Gunslingers,22,14113,0,0,A,Virgins,,,,,,,,,
2018,Regular,3,Steamer,29,Force,7,14114,0,0,A,Corsairs,,,,,,,,,
2018,Regular,3,Generals,19,(NY)Stars,17,14115,0,0,A,Romans,,,,,,,,,
2018,Regular,3,Wranglers,20,Breakers,14,14116,0,0,H,Thunderbolts,,,,,,,,,
2018,Regular,3,Bulls,10,Bell,30,14117,0,0,A,Cheesesteaks,,,,,,,,,
2018,Regular,3,Panthers,27,Stallions,12,14118,0,0,H,Bakers,,,,,,,,,
2018,Regular,3,Wheels,10,Express,28,14119,0,0,A,Hammers,,,,,,,,,
2018,Regular,3,Sun,13,Hornets,20,14120,0,0,A,Rattlesnakes,,,,,,,,,
2018,Regular,3,Stars,17,Blazers,22,14121,0,0,H,UkraineUnited,,,,,,,,,
2018,Regular,3,Bandits,0,Gamblers,16,14122,0,0,H,Monarchs,,,,,,,,,
2018,Regular,3,Maulers,6,Renegades,3,14123,0,0,H,CutThroat’s,,,,,,,,,
2018,Regular,3,VooDoo,13,Federals,28,14124,0,0,A,Quicksilver,,,,,,,,,
2018,Regular,4,Bell,16,(NY)Stars,10,14125,0,0,A,UkraineUnited,,,,,,,,,
2018,Regular,4,Renegades,13,Generals,17,14126,0,0,H,Storm,,,,,,,,,
2018,Regular,4,Bulls,14,Gamblers,7,14127,0,0,H,Rampage,,,,,,,,,
2018,Regular,4,Wranglers,6,Showboats,49,14128,0,0,H,Chips,,,,,,,,,
2018,Regular,4,Storm,3,Gold,62,14129,0,0,H,Ravens,,,,,,,,,
2018,Regular,4,Invaders,37,Breakers,13,14130,0,0,A,Lancers,,,,,,,,,
2018,Regular,4,VooDoo,30,Wheels,16,14131,0,0,A,Rattlesnakes,,,,,,,,,
2018,Regular,4,Blitz,0,Gunslingers,49,14132,0,0,A,Rancors,,,,,,,,,
2018,Regular,4,Bandits,24,Blazers,13,14133,0,0,H,Thunderbolts,,,,,,,,,
2018,Regular,4,Hornets,0,Federals,28,14134,0,0,H,Romans,,,,,,,,,
2018,Regular,4,Stallions,10,Steamer,44,14135,0,0,H,Treasure,,,,,,,,,
2018,Regular,4,Stars,6,Express,15,14136,0,0,H,Stars,,,,,,,,,
2018,Regular,4,Hawaiians,13,Sun,7,14137,0,0,H,Corsairs,,,,,,,,,
2018,Regular,4,Outlaws,10,Thunderbolts,21,14138,0,0,A,Mellotrons,,,,,,,,,
2018,Regular,4,Panthers,7,SaberCats,27,14139,0,0,H,FarEast,,,,,,,,,
2018,Regular,4,Force,27,Maulers,37,14140,0,0,H,CutThroat’s,,,,,,,,,
2018,Regular,5,Express,16,Thunderbolts,39,14141,0,0,A,Rancors,,,,,,,,,
2018,Regular,5,Federals,10,Stars,6,14142,0,0,H,FoghornLeghorns,,,,,,,,,
2018,Regular,5,Stallions,17,Hornets,9,14143,0,0,H,Mellotrons,,,,,,,,,
2018,Regular,5,Hawaiians,31,Maulers,13,14144,0,0,H,BlackSharks,,,,,,,,,
2018,Regular,5,SaberCats,19,Sun,0,14145,0,0,H,Stars,,,,,,,,,
2018,Regular,5,Showboats,38,Panthers,3,14146,0,0,H,FarEast,,,,,,,,,
2018,Regular,5,Generals,6,Invaders,23,14147,0,0,H,Treasure,,,,,,,,,
2018,Regular,5,Gold,24,Blitz,13,14148,0,0,A,Bullfrogs,,,,,,,,,
2018,Regular,5,Force,6,VooDoo,19,14149,0,0,H,Cheesesteaks,,,,,,,,,
2018,Regular,5,Wheels,3,Steamer,10,14150,0,0,H,Autobots,,,,,,,,,
2018,Regular,5,Storm,9,Wranglers,18,14151,0,0,H,Timbers,,,,,,,,,
2018,Regular,5,Gunslingers,24,Gamblers,3,14152,0,0,H,Monarchs,,,,,,,,,
2018,Regular,5,Renegades,27,Outlaws,20,14153,0,0,H,Bakers,,,,,,,,,
2018,Regular,5,Bulls,9,Bandits,9,14154,0,0,A,CutThroat’s,,,,,,,,,
2018,Regular,5,Breakers,0,Bell,7,14155,0,0,A,Rattlesnakes,,,,,,,,,
2018,Regular,5,Blazers,13,(NY)Stars,18,14156,0,0,A,Heisenbergs,,,,,,,,,
2018,Regular,6,Hawaiians,7,SaberCats,30,14157,0,0,H,Chips,,,,,,,,,
2018,Regular,6,Maulers,15,Federals,24,14158,0,0,H,Corsairs,,,,,,,,,
2018,Regular,6,Thunderbolts,15,Stallions,3,14159,0,0,A,Mellotrons,,,,,,,,,
2018,Regular,6,Express,7,Showboats,24,14160,0,0,A,Ravens,,,,,,,,,
2018,Regular,6,Sun,7,Panthers,26,14161,0,0,H,Rancors,,,,,,,,,
2018,Regular,6,Hornets,33,Stars,30,14162,0,0,A,Mallards,,,,,,,,,
2018,Regular,6,Gold,13,Invaders,27,14163,0,0,H,Autobots,,,,,,,,,
2018,Regular,6,VooDoo,25,Blitz,3,14164,0,0,H,Bakers,,,,,,,,,
2018,Regular,6,Force,13,Steamer,14,14165,0,0,A,Virgins,,,,,,,,,
2018,Regular,6,Storm,17,Wheels,13,14166,0,0,A,Monarchs,,,,,,,,,
2018,Regular,6,Gunslingers,44,Wranglers,7,14167,0,0,A,Crusaders,,,,,,,,,
2018,Regular,6,Gamblers,26,Outlaws,21,14168,0,0,H,FightingDeLucias,,,,,,,,,
2018,Regular,6,Bandits,6,Renegades,10,14169,0,0,H,Heisenbergs,,,,,,,,,
2018,Regular,6,Bulls,0,Breakers,21,14170,0,0,A,UkraineUnited,,,,,,,,,
2018,Regular,6,(NY)Stars,14,Bell,15,14171,0,0,H,Bullfrogs,,,,,,,,,
2018,Regular,6,Blazers,7,Generals,26,14172,0,0,H,FoghornLeghorns,,,,,,,,,
2018,Regular,7,Sun,3,Hawaiians,16,14173,0,0,A,Virgins,,,,,,,,,
2018,Regular,7,Blitz,20,Steamer,34,14174,0,0,H,Muskies,,,,,,,,,
2018,Regular,7,Force,0,Thunderbolts,61,14175,0,0,H,FarEast,,,,,,,,,
2018,Regular,7,SaberCats,8,Stars,3,14176,0,0,A,Bullfrogs,,,,,,,,,
2018,Regular,7,Wheels,0,Panthers,31,14177,0,0,A,Timbers,,,,,,,,,
2018,Regular,7,Invaders,16,Wranglers,14,14178,0,0,A,Cheesesteaks,,,,,,,,,
2018,Regular,7,(NY)Stars,16,Generals,14,14179,0,0,A,Rattlesnakes,,,,,,,,,
2018,Regular,7,Express,0,Federals,24,14180,0,0,A,Ravens,,,,,,,,,
2018,Regular,7,VooDoo,3,Stallions,21,14181,0,0,H,Heisenbergs,,,,,,,,,
